Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2018,ВСЕГО,Всего споров о защите прав потребителей,262684,213758,81.4,48926,18.6,28438,31623,12.0,567401,3
2020,ВСЕГО,Всего споров о защите прав потребителей,196058,158219,80.0,37839,19.0,18139,32393,16.0,20366992,129
2022,ВСЕГО,Всего споров о защите прав потребителей,214646,183331,85.0,31315,14.0,18248,28914,13.0,584084,3
2021,ВСЕГО,Всего споров о защите прав потребителей,192304,156353,81.0,35951,18.0,17803,24909,13.0,26376323,169
2023,ВСЕГО,Всего споров о защите прав потребителей,199668,171515,86.0,28153,14.0,18416,31698,16.0,28040662,163
2019,ВСЕГО,Всего споров о защите прав потребителей,245067,198804,81.0,46263,18.0,25550,35093,14.0,30835138,155
2019,ВСЕГО,"Всего споров, связанных с наследованием имущества",90264,80239,88.0,10025,11.0,5330,0,0.0,1506241,18
2024,ВСЕГО,"Всего споров, связанных с наследованием имущества",143807,124187,86.0,19620,13.0,10698,0,0.0,115404,0
2018,ВСЕГО,"Всего споров, связанных с наследованием имущества",90522,80719,89.2,9803,10.8,5335,0,0.0,51862,1
2020,ВСЕГО,"Всего споров, связанных с наследованием имущества",78139,68733,88.0,9406,12.0,4493,0,0.0,2810629,41
2022,ВСЕГО,"Всего споров, связанных с наследованием имущества",144535,127148,87.0,17387,12.0,9190,0,0.0,112536,0
2021,ВСЕГО,"Всего споров, связанных с наследованием имущества",108723,95633,88.0,13090,12.0,6892,0,0.0,4599222,48
2023,ВСЕГО,"Всего споров, связанных с наследованием имущества",136707,118127,86.0,18580,14.0,9587,0,0.0,6253375,53
2023,ВСЕГО,"Всего споров, возникающих в ходе исполнительного производства",22499,15424,69.0,7075,31.0,2705,94,0.0,284776,18
2019,ВСЕГО,"Всего споров, возникающих в ходе исполнительного производства",13800,9419,68.0,4381,31.0,1641,24,0.0,114935,12
2024,ВСЕГО,"Всего споров, возникающих в ходе исполнительного производства",20375,13908,68.0,6467,31.0,2288,184,0.0,7398,0
2018,ВСЕГО,"Всего споров, возникающих в ходе исполнительного производства",14116,10327,73.2,3789,26.8,1359,45,0.3,4231,0
2020,ВСЕГО,"Всего споров, возникающих в ходе исполнительного производства",11587,7804,67.0,3783,32.0,1241,94,0.0,117892,15
2022,ВСЕГО,"Всего споров, возникающих в ходе исполнительного производства",17361,11724,67.0,5637,32.0,1862,121,0.0,5373,0
2021,ВСЕГО,"Всего споров, возникающих в ходе исполнительного производства",16268,10837,66.0,5431,33.0,1867,85,0.0,210507,19
2023,ВСЕГО,Всего дел о защите неимущественных благ,4581,2516,55.0,2065,45.0,488,0,0.0,154819,62
2019,ВСЕГО,Всего дел о защите неимущественных благ,6018,3126,51.0,2892,48.0,811,0,0.0,236464,75
2024,ВСЕГО,Всего дел о защите неимущественных благ,5340,3004,56.0,2336,43.0,568,0,0.0,9989,3
2018,ВСЕГО,Всего дел о защите неимущественных благ,5779,2986,51.7,2793,48.3,771,0,0.0,7643,3
2020,ВСЕГО,Всего дел о защите неимущественных благ,4271,2119,49.0,2152,50.0,487,0,0.0,127501,60
2022,ВСЕГО,Всего дел о защите неимущественных благ,4444,2460,55.0,1984,44.0,463,0,0.0,6708,2
2021,ВСЕГО,Всего дел о защите неимущественных благ,4441,2250,50.0,2191,49.0,508,0,0.0,132487,59
2023,ИТОГО дел искового и приказного производства,ИТОГО дел искового и приказного производства,27365225,26915190,98.0,450035,2.0,344592,23502820,86.0,1423709864,53
2019,ИТОГО дел искового и приказного производства,ИТОГО дел искового и приказного производства,18607356,18214676,97.0,392680,2.0,368784,15146535,81.0,1255337089,68
2018,ИТОГО дел искового и приказного производства,ИТОГО дел искового и приказного производства,16237556,15844100,97.6,393456,2.4,377168,12652773,77.9,14121392,1
2020,ИТОГО дел искового и приказного производства,ИТОГО дел искового и приказного производства,20612224,20265074,98.0,347150,1.0,273256,17679489,85.0,1405946179,69
2022,ИТОГО дел искового и приказного производства,ИТОГО дел искового и приказного производства,2147483647,24912959,0.0,127307,0.0,430804,707455,0.0,1896641039,76
2021,ИТОГО дел искового и приказного производства,ИТОГО дел искового и приказного производства,22451392,22036664,98.0,414728,1.0,312796,18963642,84.0,1186438700,54
2024,ИТОГО дел искового и приказного производства,ИТОГО дел искового и приказного производства,28244835,27789737,98.0,455098,1.0,340041,24507785,86.0,8522461,0
2023,ВСЕГО,Всего дел особого производства,179756,167738,93.0,12018,7.0,7650,0,0.0,51618,0
2019,ВСЕГО,Всего дел особого производства,197567,189236,95.0,8331,4.0,9717,0,0.0,33810,0
2018,ВСЕГО,Всего дел особого производства,232284,223864,96.4,8420,3.6,12166,0,0.0,1924,0
2020,ВСЕГО,Всего дел особого производства,161132,153722,95.0,7410,4.0,7897,0,0.0,54280,0
2022,ВСЕГО,Всего дел особого производства,179773,169682,94.0,10091,5.0,7459,0,0.0,2777,0
2021,ВСЕГО,Всего дел особого производства,168408,159316,94.0,9092,5.0,7276,0,0.0,34673,0
2024,ВСЕГО,Всего дел особого производства,175099,164924,94.0,10175,5.0,7944,0,0.0,2732,0
2023,ИТОГО гражданских дел,ИТОГО гражданских дел,27544981,27082928,98.0,462053,2.0,352242,23502820,85.0,1423761482,53
2019,ИТОГО гражданских дел,ИТОГО гражданских дел,18804923,18403912,97.0,401011,2.0,378501,15146535,80.0,1255370899,68
2024,ИТОГО гражданских дел,ИТОГО гражданских дел,28419934,27954661,98.0,465273,1.0,347985,24507785,86.0,8525193,0
2018,ИТОГО гражданских дел,ИТОГО гражданских дел,16469840,16067964,97.6,401876,2.4,389334,12652773,76.8,14123315,1
2020,ИТОГО гражданских дел,ИТОГО гражданских дел,20773356,20418796,98.0,354560,1.0,281153,17679489,85.0,1406000459,69
2022,ИТОГО гражданских дел,ИТОГО гражданских дел,25092732,24651837,98.0,440895,1.0,333602,21186062,84.0,141650545,5
2021,ИТОГО гражданских дел,ИТОГО гражданских дел,22619800,22195980,98.0,423820,1.0,320072,18963642,83.0,1186473373,53
