Год,Метка_норм,Показатель,Рассмотрено дел,Кол-во лиц по делам,Осуждено,Доля осужденных,Оправдано,Доля оправданных,Прекращено по реабил. основаниям,В особом порядке,Доля осужденных в особом порядке
2017,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),9931,9501,8444,88.0,70,0.0,4,0,0.0
2016,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),10600,10275,9176,89.0,73,0.0,3,0,0.0
2017,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1709,2006,1489,74.0,21,1.0,7,792,53.0
2016,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1868,2186,1714,78.0,24,1.0,4,987,57.0
2017,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",43579,44103,33798,76.0,47,0.0,14,17379,51.0
2016,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",46966,47741,37468,78.0,53,0.0,14,19585,52.0
2017,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",5791,6106,3540,58.0,11,0.0,4,2169,61.0
2016,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",6860,7151,4461,62.0,8,0.0,3,2856,64.0
2017,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2316,2611,2446,93.0,11,0.0,1,466,19.0
2016,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2569,2874,2700,93.0,14,0.0,0,584,21.0
2017,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),6482,6680,5361,80.0,27,0.0,4,2390,44.0
2016,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),6084,6365,5286,83.0,16,0.0,1,2323,43.0
2017,Кража (ст. 158 ),Кража (ст. 158 УК РФ),221838,255440,181022,70.0,55,0.0,92,135626,74.0
2016,Кража (ст. 158 ),Кража (ст. 158 УК РФ),252480,288000,204212,70.0,86,0.0,1640,155016,75.0
2017,Мелкое хищение,Мелкое хищение,2650,2553,2178,85.0,1,0.0,4,1797,82.0
2017,"Мошенничество (ст. 159, 159.1-159.6 )","Мошенничество (ст. 159, 159.1-159.6 УК РФ)",30464,33756,24384,72.0,142,0.0,25,14638,60.0
2016,"Мошенничество (ст. 159, 159.1-159.6 )","Мошенничество (ст. 159, 159.1-159.6 УК РФ)",28776,31951,23705,74.0,138,0.0,48,14178,59.0
2017,Присвоение или растрата (ст. 160 ),Присвоение или растрата (ст. 160 УК РФ),10808,11281,8361,74.0,63,0.0,9,5889,70.0
2016,Присвоение или растрата (ст. 160 ),Присвоение или растрата (ст. 160 УК РФ),10955,11376,8873,78.0,69,0.0,31,6363,71.0
2017,Грабеж (ст. 161 ),Грабеж (ст. 161 УК РФ),31350,35690,30348,85.0,18,0.0,6,18602,61.0
2016,Грабеж (ст. 161 ),Грабеж (ст. 161 УК РФ),32782,37604,32215,85.0,10,0.0,3,19945,61.0
2016,Разбой (ст. 162 ),Разбой (ст. 162 УК РФ),8877,11436,10634,93.0,20,0.0,2,2821,26.0
2017,Разбой (ст. 162 ),Разбой (ст. 162 УК РФ),7830,9990,9298,93.0,16,0.0,2,2389,25.0
2016,Вымогательство (ст. 163 ),Вымогательство (ст. 163 УК РФ),1682,2525,2183,86.0,9,0.0,0,572,26.0
2017,Вымогательство (ст. 163 ),Вымогательство (ст. 163 УК РФ),1664,2370,1964,82.0,5,0.0,0,522,26.0
2016,Неправомерное завладение транспортным средством без цели хищения (ст. 166 ),Неправомерное завладение транспортным средством без цели хищения (ст. 166 УК РФ),13903,16450,13284,80.0,3,0.0,2,8347,62.0
2017,Неправомерное завладение транспортным средством без цели хищения (ст. 166 ),Неправомерное завладение транспортным средством без цели хищения (ст. 166 УК РФ),12875,14878,11755,79.0,4,0.0,0,7298,62.0
2016,"Преступления в сфере экономики (ст. 169 – 199.2, 200.1 )","Преступления в сфере экономики (ст. 169 – 199.2, 200.1 УК РФ)",5868,6931,5667,81.0,32,0.0,57,3709,65.0
2017,"Преступления в сфере экономики (ст. 169 – 199.2, 200.1 )","Преступления в сфере экономики (ст. 169 – 199.2, 200.1 УК РФ)",7223,8284,6456,77.0,32,0.0,20,4173,64.0
2016,Коммерческий подкуп (ст. 204 ),Коммерческий подкуп (ст. 204 УК РФ),479,492,361,73.0,3,0.0,0,149,41.0
2017,Коммерческий подкуп (ст. 204 ),Коммерческий подкуп (ст. 204 УК РФ),315,312,262,84.0,5,1.0,0,126,48.0
2016,Террористический акт (ст. 205 ),Террористический акт (ст. 205 УК РФ),9,31,28,90.0,0,0.0,0,0,0.0
2017,Террористический акт (ст. 205 ),Террористический акт (ст. 205 УК РФ),14,27,26,96.0,0,0.0,0,0,0.0
2016,"Содействие террористической деятельности, публичные призывы к осуществлению террористической деятельности, захват заложника (ст. 205.1, 205.2, 205.3, 205.4, 205.5, 206 )","Содействие террористической деятельности, публичные призывы к осуществлению террористической деятельности, захват заложника (ст. 205.1, 205.2, 205.3, 205.4, 205.5, 206 УК РФ)",180,193,182,94.0,0,0.0,0,97,53.0
2017,"Содействие террористической деятельности, публичные призывы к осуществлению террористической деятельности, захват заложника (ст. 205.1, 205.2, 205.3, 205.4, 205.5, 206 )","Содействие террористической деятельности, публичные призывы к осуществлению террористической деятельности, захват заложника (ст. 205.1, 205.2, 205.3, 205.4, 205.5, 206 УК РФ)",272,329,304,92.0,0,0.0,0,137,45.0
2016,Заведомо ложное сообщение об акте терроризма (ст. 207 ),Заведомо ложное сообщение об акте терроризма (ст. 207 УК РФ),961,929,763,82.0,1,0.0,0,582,76.0
2017,Заведомо ложное сообщение об акте терроризма (ст. 207 ),Заведомо ложное сообщение об акте терроризма (ст. 207 УК РФ),924,874,707,80.0,1,0.0,1,560,79.0
2016,"Бандитизм, организация незаконных формирований, банд и преступных организаций или участие в них (ст. 208-210 )","Бандитизм, организация незаконных формирований, банд и преступных организаций или участие в них (ст. 208-210 УК РФ)",450,716,609,85.0,6,0.0,2,141,23.0
2017,"Бандитизм, организация незаконных формирований, банд и преступных организаций или участие в них (ст. 208-210 )","Бандитизм, организация незаконных формирований, банд и преступных организаций или участие в них (ст. 208-210 УК РФ)",406,702,553,78.0,8,1.0,0,42,7.0
2016,Хулиганство (ст. 213 ),Хулиганство (ст. 213 УК РФ),1122,1259,991,78.0,5,0.0,2,526,53.0
2017,Хулиганство (ст. 213 ),Хулиганство (ст. 213 УК РФ),868,964,730,75.0,2,0.0,4,410,56.0
2016,Незаконные действия с оружием (ст. 222-226.1 ),Незаконные действия с оружием (ст. 222-226.1 УК РФ),9803,9924,8758,88.0,11,0.0,4,7081,80.0
2017,Незаконные действия с оружием (ст. 222-226.1 ),Незаконные действия с оружием (ст. 222-226.1 УК РФ),10613,10675,9256,86.0,6,0.0,8,7564,81.0
2016,"Нарушение правил охраны труда и безопасного производства работ (ст. 143, 215, 216-219)","Нарушение правил охраны труда и безопасного производства работ (ст. 143, 215, 216-219)",694,706,331,46.0,6,0.0,1,228,68.0
2017,"Нарушение правил охраны труда и безопасного производства работ (ст. 143, 215, 216-219)","Нарушение правил охраны труда и безопасного производства работ (ст. 143, 215, 216-219)",848,858,354,41.0,14,1.0,0,163,46.0
2016,Незаконные действия с наркотическими средствами и психотропными веществами (ст. 228-233 ),Незаконные действия с наркотическими средствами и психотропными веществами (ст. 228-233 УК РФ),103054,110212,106148,96.0,57,0.0,21,71537,67.0
2017,Незаконные действия с наркотическими средствами и психотропными веществами (ст. 228-233 ),Незаконные действия с наркотическими средствами и психотропными веществами (ст. 228-233 УК РФ),103164,108667,104605,96.0,53,0.0,16,72146,69.0
2016,Экологические преступления (ст. 246-262 ),Экологические преступления (ст. 246-262 УК РФ),11285,13068,9060,69.0,15,0.0,12,7253,80.0
2017,Экологические преступления (ст. 246-262 ),Экологические преступления (ст. 246-262 УК РФ),11426,13298,8411,63.0,47,0.0,7,6639,78.0
2016,Нарушение правил безопасности движения и эксплуатации транспорта (ст. 263-271.1 ),Нарушение правил безопасности движения и эксплуатации транспорта (ст. 263-271.1 УК РФ),100810,95378,88021,92.0,51,0.0,10,74986,85.0
2017,Нарушение правил безопасности движения и эксплуатации транспорта (ст. 263-271.1 ),Нарушение правил безопасности движения и эксплуатации транспорта (ст. 263-271.1 УК РФ),103947,92658,84824,91.0,45,0.0,13,71617,84.0
2016,"Преступления экстремистской направленности (ст. 280, 282, 282-1, 282-2 )","Преступления экстремистской направленности (ст. 280, 282, 282-1, 282-2 УК РФ)",658,676,571,84.0,4,0.0,1,360,63.0
2017,"Преступления экстремистской направленности (ст. 280, 282, 282-1, 282-2 )","Преступления экстремистской направленности (ст. 280, 282, 282-1, 282-2 УК РФ)",781,807,667,82.0,9,1.0,1,442,66.0
2016,Незаконное участие в предпринимательской деятельности (ст. 289 ),Незаконное участие в предпринимательской деятельности (ст. 289 УК РФ),12,12,6,50.0,0,0.0,0,0,0.0
2017,Незаконное участие в предпринимательской деятельности (ст. 289 ),Незаконное участие в предпринимательской деятельности (ст. 289 УК РФ),10,9,3,33.0,0,0.0,0,0,0.0
2016,Получение взятки (ст. 290 ),Получение взятки (ст. 290 УК РФ),1825,1663,1527,91.0,26,1.0,0,550,36.0
2017,Получение взятки (ст. 290 ),Получение взятки (ст. 290 УК РФ),1501,1473,1293,87.0,29,2.0,0,333,25.0
2016,Дача взятки (ст. 291 ),Дача взятки (ст. 291 УК РФ),4403,3991,3738,93.0,8,0.0,1,2946,78.0
2017,Дача взятки (ст. 291 ),Дача взятки (ст. 291 УК РФ),1978,1937,1690,87.0,16,0.0,2,1134,67.0
2016,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",3718,4297,3373,78.0,117,2.0,6,1232,36.0
2017,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",6520,6818,5142,75.0,125,1.0,5,2599,50.0
2016,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",20929,20610,18778,91.0,16,0.0,0,13926,74.0
2017,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",21150,20785,18550,89.0,17,0.0,10,13711,73.0
2016,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",30581,33616,6243,18.0,2318,6.0,8263,824,13.0
2017,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",8108,8471,2123,25.0,1083,12.0,1460,305,14.0
2016,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",30282,30726,14616,47.0,48,0.0,381,11000,75.0
2017,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",12327,12272,4433,36.0,28,0.0,515,3378,76.0
2016,Прочие преступления,Прочие преступления,212405,213417,142278,66.0,268,0.0,2360,113630,79.0
2017,Прочие преступления,Прочие преступления,233199,217760,149843,68.0,222,0.0,1223,120292,80.0
2016,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,0,90703,8.0,0,0.0,0,0,0.0
2017,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,0,91315,9.0,0,0.0,0,0,0.0
2019,ВСЕГО,Всего уголовных дел,806114,838157,620054,74.0,2256,0.0,1570,374384,60.0
2021,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),8019,7317,6197,84.0,230,3.0,1,0,0.0
2023,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),8440,7530,6144,82.0,201,3.0,1,0,0.0
2019,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),7936,7461,6410,85.0,170,2.0,1,0,0.0
2024,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),7331,6556,5289,80.0,166,2.0,2,0,0.0
2018,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),8853,8392,7390,88.1,86,1.0,1,0,0.0
2020,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),7349,6730,5711,84.0,154,2.0,3,0,0.0
2022,Убийство без смягчающих обстоятельств (ст. 105 ),Убийство без смягчающих обстоятельств (ст. 105 УК РФ),8286,7350,6029,82.0,203,2.0,5,0,0.0
2021,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1750,2032,1395,68.0,34,1.0,2,519,37.0
2023,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1459,1729,1285,74.0,29,2.0,4,437,34.0
2019,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1867,2113,1378,65.0,34,1.0,2,580,42.0
2024,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1461,1738,1361,78.0,27,1.0,3,461,33.0
2018,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1865,2129,1460,68.6,19,0.9,3,746,51.1
2020,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1802,2058,1342,65.0,33,1.0,5,515,38.0
2022,Иные посягательства на жизнь человека (ст. 106-110 ),Иные посягательства на жизнь человека (ст. 106-110 УК РФ),1723,2022,1481,73.0,26,1.0,8,525,35.0
2021,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",34029,34078,25548,75.0,188,0.0,6,3739,14.0
2023,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",32795,32801,24278,74.0,184,1.0,33,2782,11.0
2019,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",37169,37446,28569,76.0,118,0.0,14,11389,39.0
2024,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",30691,30657,22286,72.0,153,0.0,7,2315,10.0
2018,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",40692,41057,31366,76.4,73,0.2,8,16033,51.1
2020,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",34743,34781,25919,74.0,141,0.0,7,7512,29.0
2022,"Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 )","Умышленное причинение тяжкого либо средней тяжести вреда здоровью (ст. 111, 112 УК РФ)",33356,33531,24806,73.0,201,0.0,9,3264,13.0
2021,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",4379,4719,2620,55.0,10,0.0,1,833,31.0
2023,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",3507,3963,2298,58.0,10,0.0,7,540,23.0
2019,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",5430,5696,3110,54.0,8,0.0,4,1541,49.0
2024,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",3104,3576,2057,57.0,14,0.0,2,454,22.0
2018,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",5670,5990,3365,56.2,13,0.2,1,2052,61.0
2020,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",5029,5309,2714,51.0,11,0.0,2,1168,43.0
2022,"Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 )","Иное причинение тяжкого либо средней тяжести вреда здоровью и истязания (ст. 113, 114, 117, 118 УК РФ)",3790,4177,2322,55.0,18,0.0,1,645,27.0
2021,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),1967,2023,1810,89.0,15,0.0,1,5,0.0
2023,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2235,2258,1921,85.0,12,1.0,1,1,0.0
2019,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),1892,2057,1876,91.0,11,0.0,1,277,14.0
2024,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2080,2069,1747,84.0,14,0.0,1,0,0.0
2018,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2148,2358,2185,92.7,12,0.5,0,394,18.0
2020,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),1739,1816,1668,91.0,9,0.0,1,146,8.0
2022,Изнасилование (ст. 131 ),Изнасилование (ст. 131 УК РФ),2159,2169,1883,86.0,14,0.0,0,3,0.0
2021,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),7545,7727,6023,77.0,32,0.0,4,1473,24.0
2023,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),8360,8486,6989,82.0,34,0.0,3,1290,18.0
2019,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),6946,7074,5256,74.0,20,0.0,2,1873,35.0
2024,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),7965,8069,6698,83.0,27,0.0,2,1208,18.0
2018,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),6821,6984,5420,77.6,20,0.3,7,2410,44.5
2020,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),6717,6835,4898,71.0,25,0.0,5,1501,30.0
2022,Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 ),Иные посягательства против половой неприкосновенности и половой свободы личности (ст. 132-135 УК РФ),8224,8324,6724,80.0,33,0.0,5,1385,20.0
2021,Кража (ст. 158 ),Кража (ст. 158 УК РФ),205650,223519,157733,70.0,72,0.0,51,57122,36.0
2023,Кража (ст. 158 ),Кража (ст. 158 УК РФ),194681,205965,154041,75.0,47,0.0,156,46528,30.0
2019,Кража (ст. 158 ),Кража (ст. 158 УК РФ),202244,228577,154087,67.0,68,0.0,58,95153,61.0
2024,Кража (ст. 158 ),Кража (ст. 158 УК РФ),163764,170831,126089,73.0,32,0.0,45,36717,29.0
2018,Кража (ст. 158 ),Кража (ст. 158 УК РФ),214724,245991,169558,68.9,48,0.0,48,125407,74.0
2020,Кража (ст. 158 ),Кража (ст. 158 УК РФ),190090,210424,140965,67.0,59,0.0,26,71555,50.0
2022,Кража (ст. 158 ),Кража (ст. 158 УК РФ),213408,227848,166423,73.0,50,0.0,54,55203,33.0
2021,Мелкое хищение (ст. 158.1 ),Мелкое хищение (ст. 158.1 УК РФ),8243,8023,7342,91.0,0,0.0,3,4896,66.0
2023,Мелкое хищение (ст. 158.1 ),Мелкое хищение (ст. 158.1 УК РФ),10888,10686,10031,94.0,0,0.0,4,6125,61.0
2019,Мелкое хищение (ст. 158.1 ),Мелкое хищение (ст. 158.1 УК РФ),6849,6353,5641,88.0,1,0.0,9,4113,72.0
2024,Мелкое хищение (ст. 158.1 ),Мелкое хищение (ст. 158.1 УК РФ),8165,8042,7573,94.0,1,0.0,4,4346,57.0
2018,Мелкое хищение (ст. 158.1 ),Мелкое хищение (ст. 158.1 УК РФ),5351,4844,4295,88.7,0,0.0,1,3666,85.4
2020,Мелкое хищение (ст. 158.1 ),Мелкое хищение (ст. 158.1 УК РФ),7264,7050,6326,89.0,5,0.0,6,4459,70.0
