Год,Метка_норм,Показатель,Рассмотрено дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Средняя сумма штрафа (тыс. руб.)
2020,Непредоставление преимущества в движении специальным транспортным средствам (12.17 ч.2 КоАП),Непредоставление преимущества в движении специальным транспортным средствам (12.17 ч.2 КоАП),796,601,75.0,35,4.0,530,1844,0,71,0,0,0,3
2022,"Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч.3, 5, 6, 12.21.2 ч.1 КоАП)","Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч. 3, 5, 6, 12.21.2 ч. 1 КоАП)",1678,1097,65.0,113,6.0,1061,27297,0,15,0,0,0,24
2021,Непредоставление преимущества в движении специальным транспортным средствам (12.17 ч.2 КоАП),Непредоставление преимущества в движении специальным транспортным средствам (12.17 ч.2 КоАП),861,591,68.0,50,5.0,544,1912,0,47,0,0,0,3
2023,"Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч.3, 5, 6, 12.21.2 ч.1 КоАП)","Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч. 3, 5, 6, 12.21.2 ч. 1 КоАП)",411,222,54.0,37,9.0,217,3666,0,4,0,0,0,17
2019,"Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)","Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)",37174,31521,84.0,872,2.0,23167,197082,0,8354,0,0,0,6
2024,"Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч.3, 5, 6, 12.21.2 ч.1 КоАП)","Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч. 3, 5, 6, 12.21.2 ч. 1 КоАП)",308,174,56.0,17,5.0,171,3545,0,3,0,0,0,20
2018,ВСЕГО,Всего правонарушений в области дорожного движения,1107436,902135,81.5,24024,0.0,678133,15207683,129994,434165,0,0,3532,17
2020,"Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч.3, 5, 6, 12.21.2 ч.1 КоАП)","Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч. 3, 5, 6, 12.21.2 ч. 1 КоАП)",3354,2072,61.0,224,6.0,2030,50468,0,26,0,0,0,24
2022,"Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч.5 КоАП)","Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч. 5 КоАП)",9,5,55.0,0,0.0,4,40,0,0,0,0,0,8
2021,"Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч.3, 5, 6, 12.21.2 ч.1 КоАП)","Нарушение правил перевозки крупногабаритных, тяжеловесных, опасных грузов (12.21.1 ч. 3, 5, 6, 12.21.2 ч. 1 КоАП)",3032,1916,63.0,132,4.0,1871,38388,0,35,0,0,0,20
2023,"Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч.5 КоАП)","Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч. 5 КоАП)",12,7,58.0,0,0.0,3,18,0,3,0,0,0,3
2019,Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),194070,162641,83.0,2582,1.0,135331,4029473,26125,128627,0,0,0,24
2024,"Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч.5 КоАП)","Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч. 5 КоАП)",4,3,75.0,0,0.0,2,10,0,0,0,0,0,3
2018,Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),40,20,50.0,10,0.0,8,12,0,0,0,0,0,1
2020,"Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч.5 КоАП)","Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч. 5 КоАП)",10,9,90.0,1,10.0,5,13,0,3,0,0,0,1
2022,"Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)","Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)",32896,27136,82.0,698,2.0,20765,184093,21,6344,0,0,0,6
2021,"Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч.5 КоАП)","Нарушение требований к перевозке детей в ночное время, установленных Правилами организованной перевозки группы детей автобусами (12.23 ч. 5 КоАП)",6,5,83.0,0,0.0,4,61,0,1,0,0,0,12
2023,"Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)","Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)",32349,26676,82.0,602,2.0,20351,188921,0,6312,0,0,0,7
2019,"Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)","Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)",79119,56140,71.0,4326,5.0,1244,13611,28388,26877,0,0,0,0
2024,"Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)","Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)",32618,26464,81.0,678,2.0,19935,190681,0,6528,0,0,0,7
2018,"Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)","Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)",340,121,35.6,41,0.0,106,231,0,0,0,1,16,2
2020,"Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)","Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)",34531,29038,84.0,909,2.0,21755,191016,0,7277,0,0,0,7
2022,Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),195751,164791,84.0,2261,1.0,138997,4170505,25163,135798,0,0,0,25
2021,"Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)","Нарушение Правил дорожного движения или правил эксплуатации транспортным средством, повлекшее причинение легкого или средней тяжести вреда здоровью потерпевшего (12.24 КоАП)",32239,26747,83.0,767,2.0,20311,179782,0,6418,0,0,0,7
2023,Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),186785,154961,83.0,2516,1.0,131593,3928610,22743,127654,0,0,0,25
2019,"Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч.3 КоАП)","Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч. 3 КоАП)",5567,4473,80.0,164,2.0,4107,120980,219,3430,0,0,0,27
2024,Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),180668,149746,82.0,1984,1.0,127867,3826799,21116,122299,0,0,0,25
2018,Нарушение правил охраны линий или сооружений связи (13.5 КоАП),Нарушение правил охраны линий или сооружений связи (13.5 КоАП),161,111,68.9,18,0.0,96,474,0,0,0,0,0,4
2020,Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),195670,163866,83.0,2508,1.0,133769,4022386,28406,129787,0,0,0,25
2022,"Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)","Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)",75740,49618,65.0,5758,7.0,1181,8086,25925,22512,0,0,0,0
2021,Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),Невыполнение водителем требования о прохождении медицинского освидетельствования на состояние опьянения (12.26 КоАП),198216,166947,84.0,2532,1.0,138222,4139012,28225,134032,0,0,0,25
2023,"Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)","Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)",69952,45113,64.0,5679,8.0,1224,9596,23668,20314,0,0,0,0
2019,"Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)","Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)",46546,27293,58.0,4270,9.0,26899,1847006,0,0,0,0,0,67
2024,"Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)","Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)",66740,42619,63.0,5197,7.0,1253,8605,21208,20215,0,0,0,0
2018,Использование несертифицированных средств либо предоставление несертифицированных услуг связи (13.6 - 13.8 КоАП),Использование несертифицированных средств либо предоставление несертифицированных услуг связи (13.6 - 13.8 КоАП),4,2,50.0,0,0.0,2,4,0,0,0,0,0,2
2020,"Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)","Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)",75483,52126,69.0,4821,6.0,1032,8177,27039,24153,0,0,0,0
2022,"Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч.3 КоАП)","Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч. 3 КоАП)",5281,4271,80.0,130,2.0,4185,124096,48,3447,0,0,0,29
2021,"Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)","Невыполнение обязанностей в связи с дорожно-транспортным происшествием (12.27 ч.2, 3 КоАП)",77481,52130,67.0,5375,6.0,793,5823,27547,23864,0,0,0,0
2023,"Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч.3 КоАП)","Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч. 3 КоАП)",4803,3840,80.0,131,3.0,3721,110654,71,3102,0,0,0,29
2019,Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),81,69,85.0,3,3.0,67,516,0,0,0,0,0,7
2024,"Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч.3 КоАП)","Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч. 3 КоАП)",4652,3716,79.0,101,2.0,3634,108309,48,2955,0,0,0,29
2018,"Нарушение установленного законом порядка сбора, хранения, использования или распространения информации о гражданах (персональных данных) (13.11, 13.11.1, 13.12 ч.2, 4, 5, 13.13, 13.14 КоАП)","Нарушение установленного законом порядка сбора, хранения, использования или распространения информации о гражданах (персональных данных) (13.11, 13.11.1, 13.12 ч. 2, 4, 5, 13.13, 13.14 КоАП)",2023,1736,85.8,101,0.0,871,6763,0,0,0,0,0,4
2020,"Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч.3 КоАП)","Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч. 3 КоАП)",5640,4519,80.0,155,2.0,4348,129317,114,3598,0,0,0,29
2022,"Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)","Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)",38874,22466,57.0,3061,7.0,21908,1577102,0,0,0,0,0,70
2021,"Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч.3 КоАП)","Невыполнение требования Правил дорожного движения о запрещении водителю употреблять алкогольные напитки, наркотические или психотропные вещества после дорожно-транспортного происшествия (12.27 ч. 3 КоАП)",5453,4322,79.0,152,2.0,4216,125006,72,3500,0,0,0,29
2023,"Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)","Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)",9626,5978,62.0,803,8.0,5567,371189,0,0,0,0,0,62
2019,Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),9529,7934,83.0,259,2.0,6482,52025,684,536,0,0,0,6
2019,ВСЕГО,Всего правонарушений в области дорожного движения,1036557,839841,81.0,20462,2.0,620274,13971952,131064,390647,0,0,3207,16
2024,"Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)","Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)",29505,17010,57.0,1653,5.0,16073,1058491,0,0,0,0,0,62
2018,"Злоупотребление свободой массовой информации, воспрепятствование распространению продукции средства массовой информации (13.15, 13.16 КоАП)","Злоупотребление свободой массовой информации, воспрепятствование распространению продукции средства массовой информации (13.15, 13.16 КоАП)",590,456,77.3,40,0.0,438,7915,0,0,0,0,2,17
2020,"Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)","Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)",49311,27807,56.0,4727,9.0,27399,2032501,0,0,0,0,0,73
2022,Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),44,31,70.0,5,11.0,30,174,0,0,0,0,0,5
2021,"Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)","Несоблюдение требований по обеспечению безопасности дорожного движения при строительстве, реконструкции, ремонте и содержании дорог, железнодорожных переездов или других дорожных сооружений (12.34 КоАП)",53663,30803,57.0,4285,8.0,30159,2233221,0,0,0,0,0,73
2023,Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),62,53,85.0,1,2.0,47,335,0,0,0,0,0,6
2019,Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),35,26,74.0,2,5.0,15,15,0,0,0,0,0,0
2024,Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),38,30,78.0,1,2.0,29,138,0,0,0,0,0,4
2018,"Воспрепятствование работе сайтов в сети Интернет (13.18 ч.2, 13.27 КоАП)","Воспрепятствование работе сайтов в сети Интернет (13.18 ч. 2, 13.27 КоАП)",3292,3087,93.8,111,0.0,2929,8820,0,0,0,0,0,3
2020,Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),65,45,69.0,10,15.0,44,348,0,0,0,0,0,8
2022,Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),12318,10354,84.0,245,1.0,7601,135922,402,290,0,0,0,13
2021,Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),Незаконное ограничение прав на управление ТС и его эксплуатацию (12.35 КоАП),67,51,76.0,4,6.0,50,296,0,0,0,0,0,6
2023,Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),9374,8011,85.0,190,2.0,6155,78469,507,278,0,0,0,10
2019,"Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)","Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)",150,75,50.0,5,3.0,51,95,0,0,0,0,15,1
2024,Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),7427,6115,82.0,198,2.0,5143,29429,344,407,0,0,23,4
2018,Нарушение порядка изготовления или распространения продукции средств массовой информации (13.21 КоАП),Нарушение порядка изготовления или распространения продукции средств массовой информации (13.21 КоАП),2361,1390,58.9,603,0.0,1134,11998,0,0,0,0,74,9
2020,Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),8551,7018,82.0,252,2.0,6128,39181,420,271,0,0,0,6
2022,ВСЕГО,Всего правонарушений в области дорожного движения,1049644,840864,80.0,20334,1.0,629035,13982185,130125,383549,0,0,1239,16
2021,Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),Иные правонарушения в области дорожного движения (иные статьи главы 12 КоАП),8323,6843,82.0,184,2.0,6054,31077,327,263,0,0,0,5
2023,ВСЕГО,Всего правонарушений в области дорожного движения,954288,764514,80.0,18257,2.0,574216,12253278,113551,358095,0,0,975,16
2019,Нарушение правил охраны линий или сооружений связи (13.5 КоАП),Нарушение правил охраны линий или сооружений связи (13.5 КоАП),83,62,74.0,4,4.0,51,253,0,0,0,0,0,4
2024,ВСЕГО,Всего правонарушений в области дорожного движения,939826,739026,78.0,17917,1.0,563354,12306801,100939,338219,0,0,1361,16
2018,Нарушение порядка предоставления информации о деятельности государственных органов и органов местного самоуправления (13.28 КоАП),Нарушение порядка предоставления информации о деятельности государственных органов и органов местного самоуправления (13.28 КоАП),16,16,100.0,0,0.0,15,38,0,0,0,0,0,2
2020,ВСЕГО,Всего правонарушений в области дорожного движения,1053680,847075,80.0,22839,2.0,615874,14197294,144109,384412,0,0,2097,17
2022,Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),31,20,64.0,8,25.0,16,509,0,0,0,0,0,25
2021,ВСЕГО,Всего правонарушений в области дорожного движения,1081257,866860,80.0,22176,2.0,637486,14621179,144173,383565,0,0,2080,17
2023,Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),78,31,40.0,18,23.0,16,2940,0,0,0,0,0,95
2019,Использование несертифицированных средств либо предоставление несертифицированных услуг связи (13.6 - 13.8 КоАП),Использование несертифицированных средств либо предоставление несертифицированных услуг связи (13.6 - 13.8 КоАП),7,4,57.0,2,28.0,2,110,0,0,0,0,0,27
2024,Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),16,7,43.0,5,31.0,7,304,0,0,0,0,0,43
2018,"Неисполнение обязанностей организатором распространения информации в сети Интернет (13.31 ч.2, 3 КоАП)","Неисполнение обязанностей организатором распространения информации в сети Интернет (13.31 ч. 2, 3 КоАП)",29,8,27.6,19,0.0,7,44,0,0,0,0,0,6
2020,Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),22,11,50.0,2,9.0,1,1,0,0,0,0,0,0
2022,"Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)","Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)",449,292,65.0,45,10.0,205,239,0,0,0,0,14,0
2021,Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),Самовольное подключение к сети электрической связи оконечного оборудования (13.2 КоАП),37,26,70.0,2,5.0,10,9,0,0,0,0,0,0
2023,"Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)","Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)",449,350,78.0,26,6.0,229,227,0,0,0,0,16,1
2019,"Нарушение установленного законом порядка сбора, хранения, использования или распространения информации о гражданах (персональных данных) (13.11, 13.11.1, 13.12 ч.2, 4, 5, 13.13, 13.14 КоАП)","Нарушение установленного законом порядка сбора, хранения, использования или распространения информации о гражданах (персональных данных) (13.11, 13.11.1, 13.12 ч. 2, 4, 5, 13.13, 13.14 КоАП)",1683,1382,82.0,139,8.0,609,4308,0,0,0,0,2,3
2024,"Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)","Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)",310,220,70.0,15,4.0,159,137,0,0,0,0,10,0
2018,"Нарушение обязанностей, предусмотренных законодательством РФ в области электронной подписи (13.33 КоАП)","Нарушение обязанностей, предусмотренных законодательством РФ в области электронной подписи (13.33 КоАП)",5,1,20.0,0,0.0,1,0,0,0,0,0,0,0
2020,"Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)","Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)",349,182,52.0,26,7.0,135,657,0,0,0,0,11,4
2022,Нарушение правил охраны линий или сооружений связи (13.5 КоАП),Нарушение правил охраны линий или сооружений связи (13.5 КоАП),162,122,75.0,15,9.0,117,400,0,0,0,0,0,3
2021,"Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)","Самовольное проектирование, строительство, изготовление, приобретение, установка радиоэлектронных средств и (или) высокочастотных устройств (13.3, 13.4 КоАП)",202,113,55.0,28,13.0,72,430,0,0,0,0,9,4
2023,Нарушение правил охраны линий или сооружений связи (13.5 КоАП),Нарушение правил охраны линий или сооружений связи (13.5 КоАП),94,86,91.0,2,2.0,85,268,0,0,0,0,0,3
2019,Злоупотребление свободой массовой информации (13.15 КоАП),Злоупотребление свободой массовой информации (13.15 КоАП),682,377,55.0,34,5.0,373,6744,0,0,0,0,1,17
2024,Нарушение правил охраны линий или сооружений связи (13.5 КоАП),Нарушение правил охраны линий или сооружений связи (13.5 КоАП),91,79,86.0,4,4.0,75,208,0,0,0,0,0,2
2018,"Неисполнение оператором связи обязанности по ограничению или возобновлению доступа к информации, доступ к которой должен быть ограничен (13.34 КоАП)","Неисполнение оператором связи обязанности по ограничению или возобновлению доступа к информации, доступ к которой должен быть ограничен (13.34 КоАП)",1218,858,70.4,116,0.0,735,22716,0,0,0,0,0,26
2020,Нарушение правил охраны линий или сооружений связи (13.5 КоАП),Нарушение правил охраны линий или сооружений связи (13.5 КоАП),132,89,67.0,21,15.0,69,401,0,0,0,0,0,5
2022,Использование несертифицированных средств либо предоставление несертифицированных услуг связи (13.6 - 13.8 КоАП),Использование несертифицированных средств либо предоставление несертифицированных услуг связи (13.6 - 13.8 КоАП),12,2,16.0,0,0.0,1,4,0,0,0,0,0,2
2021,Нарушение правил охраны линий или сооружений связи (13.5 КоАП),Нарушение правил охраны линий или сооружений связи (13.5 КоАП),212,146,68.0,18,8.0,129,505,0,0,0,0,0,3
