Год,Метка_норм,Показатель,Рассмотрено дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Средняя сумма штрафа (тыс. руб.)
2016,"Непредоставление на безвозмездной основе услуг по погребению, невыплата социального пособия на погребение (5.41 КоАП)","Непредоставление на безвозмездной основе услуг по погребению, невыплата социального пособия на погребение (5.41 КоАП)",11,4,36.0,2,0.0,4,8,0,0,0,0,0,2
2017,"Непредоставление на безвозмездной основе услуг по погребению, невыплата социального пособия на погребение (5.41 КоАП)","Непредоставление на безвозмездной основе услуг по погребению, невыплата социального пособия на погребение (5.41 КоАП)",5,4,80.0,1,0.0,4,8,0,0,0,0,0,2
2016,"Нарушение прав граждан - инвалидов (5.42, 5.43, 9.13, 9.14, 11.24 КоАП)","Нарушение прав граждан - инвалидов (5.42, 5.43, 9.13, 9.14, 11.24 КоАП)",2604,1937,74.0,297,0.0,1906,12131,0,0,0,0,0,6
2017,"Нарушение прав граждан - инвалидов (5.42, 5.43, 9.13, 9.14, 11.24 КоАП)","Нарушение прав граждан - инвалидов (5.42, 5.43, 9.13, 9.14, 11.24 КоАП)",3824,2928,76.0,388,0.0,2695,16093,0,0,0,0,0,5
2017,"Использование преимуществ должностного или служебного положения в период избирательной кампании, кампании референдума (5.45 КоАП)","Использование преимуществ должностного или служебного положения в период избирательной кампании, кампании референдума (5.45 КоАП)",6,5,83.0,1,0.0,4,10,0,0,0,0,0,2
2017,"Подделка подписей избирателей, участников референдума, сбор подписей избирателей, участников референдума в запрещенных местах (5.46, 5.47 КоАП)","Подделка подписей избирателей, участников референдума, сбор подписей избирателей, участников референдума в запрещенных местах (5.46, 5.47 КоАП)",19,9,47.0,0,0.0,9,14,0,0,0,0,0,2
2017,"Невыполнение уполномоченным лицом требований законодательства о выборах об обеспечении кандидатам, избирательным объединениям равных условий для проведения агитационных публичных мероприятий (5.52 КоАП)","Невыполнение уполномоченным лицом требований законодательства о выборах об обеспечении кандидатам, избирательным объединениям равных условий для проведения агитационных публичных мероприятий (5.52 КоАП)",1,0,0.0,1,0.0,0,0,0,0,0,0,0,0
2016,"Незаконные действия по получению и (или) распространению информации, составляющей кредитную историю (5.53 КоАП)","Незаконные действия по получению и (или) распространению информации, составляющей кредитную историю (5.53 КоАП)",3,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2017,"Незаконные действия по получению и (или) распространению информации, составляющей кредитную историю (5.53 КоАП)","Незаконные действия по получению и (или) распространению информации, составляющей кредитную историю (5.53 КоАП)",0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2016,Нарушение права на образование и предусмотренных законодательством в области образования прав и свобод обучающихся и воспитанников образовательных организаций (5.57 КоАП),Нарушение права на образование и предусмотренных законодательством в области образования прав и свобод обучающихся и воспитанников образовательных организаций (5.57 КоАП),499,321,64.0,107,0.0,314,7810,0,0,0,0,0,24
