Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Отклонено,Доля удовлетворенных,Доля отклоненных
2016,"Об ограничении конституционных прав граждан на тайну переписки, телефонных переговоров, почтовых, телеграфных и иных сообщений, передаваемых по сетям электрической и почтовой связи","Об ограничении конституционных прав граждан на тайну переписки, телефонных переговоров, почтовых, телеграфных и иных сообщений, передаваемых по сетям электрической и почтовой связи",609989,607052,1539,99.0,0.0
2017,"Об ограничении конституционных прав граждан на тайну переписки, телефонных переговоров, почтовых, телеграфных и иных сообщений, передаваемых по сетям электрической и почтовой связи","Об ограничении конституционных прав граждан на тайну переписки, телефонных переговоров, почтовых, телеграфных и иных сообщений, передаваемых по сетям электрической и почтовой связи",586786,584884,1598,99.0,0.0
2016,Об ограничении конституционных прав граждан на неприкосновенность жилища,Об ограничении конституционных прав граждан на неприкосновенность жилища,36636,36505,75,99.0,0.0
2017,Об ограничении конституционных прав граждан на неприкосновенность жилища,Об ограничении конституционных прав граждан на неприкосновенность жилища,36517,36431,83,99.0,0.0
2017,"О получении справок по операциям, счетам и вкладам, составляющим банковскую тайну","О получении справок по операциям, счетам и вкладам, составляющим банковскую тайну",70407,69791,476,99.0,0.0
2016,"Жалобы на действия должностных лиц , осуществляющих уголовное производство","Жалобы на действия должностных лиц , осуществляющих уголовное производство",127086,6369,29917,5.0,23.0
2017,"Жалобы на действия должностных лиц , осуществляющих уголовное производство","Жалобы на действия должностных лиц , осуществляющих уголовное производство",121828,5898,23693,4.0,19.0
2016,Жалобы на решения о выдаче (экстрадиции),Жалобы на решения о выдаче (экстрадиции),151,11,124,7.0,82.0
2017,Жалобы на решения о выдаче (экстрадиции),Жалобы на решения о выдаче (экстрадиции),229,35,185,15.0,80.0
2016,"Материалы по составам частного обвинения, поступившие из других органов","Материалы по составам частного обвинения, поступившие из других органов",192144,6765,148214,3.0,77.0
2017,"Материалы по составам частного обвинения, поступившие из других органов","Материалы по составам частного обвинения, поступившие из других органов",15562,1155,11305,7.0,72.0
2016,Заявления по делам частного обвинения от граждан,Заявления по делам частного обвинения от граждан,45715,14054,25836,30.0,56.0
2017,Заявления по делам частного обвинения от граждан,Заявления по делам частного обвинения от граждан,9701,3083,4015,31.0,41.0
2016,Об освобождении от отбывания наказания в связи с истечением сроков давности,Об освобождении от отбывания наказания в связи с истечением сроков давности,905,472,191,52.0,21.0
2017,Об освобождении от отбывания наказания в связи с истечением сроков давности,Об освобождении от отбывания наказания в связи с истечением сроков давности,424,209,88,49.0,20.0
2016,О замене обязательных работ лишением свободы,О замене обязательных работ лишением свободы,26281,15132,7903,57.0,30.0
2017,О замене обязательных работ лишением свободы,О замене обязательных работ лишением свободы,29564,16124,7754,54.0,26.0
2016,О замене исправительных работ лишением свободы,О замене исправительных работ лишением свободы,31667,17793,10483,56.0,33.0
2017,О замене исправительных работ лишением свободы,О замене исправительных работ лишением свободы,28753,17226,7767,59.0,27.0
2016,О замене кратного штрафа,О замене кратного штрафа,929,141,234,15.0,25.0
2017,О замене кратного штрафа,О замене кратного штрафа,708,127,152,17.0,21.0
2016,"Об изменении вида исправительного учреждения, назначенного по приговору","Об изменении вида исправительного учреждения, назначенного по приговору",38851,22746,10798,58.0,27.0
2017,"Об изменении вида исправительного учреждения, назначенного по приговору","Об изменении вида исправительного учреждения, назначенного по приговору",36746,21549,9675,58.0,26.0
2016,Об исполнении приговора при наличии других неисполненных приговоров,Об исполнении приговора при наличии других неисполненных приговоров,2659,1699,247,63.0,9.0
2017,Об исполнении приговора при наличии других неисполненных приговоров,Об исполнении приговора при наличии других неисполненных приговоров,2558,1703,209,66.0,8.0
2016,О снижении размера удержания из заработной платы осужденного к исправительным работам,О снижении размера удержания из заработной платы осужденного к исправительным работам,88,56,18,63.0,20.0
2017,О снижении размера удержания из заработной платы осужденного к исправительным работам,О снижении размера удержания из заработной платы осужденного к исправительным работам,62,41,13,66.0,21.0
2016,"О передаче гражданина, осужденного к лишению свободы, для отбывания наказания в государстве, гражданином которого он является","О передаче гражданина, осужденного к лишению свободы, для отбывания наказания в государстве, гражданином которого он является",706,335,131,47.0,18.0
2017,"О передаче гражданина, осужденного к лишению свободы, для отбывания наказания в государстве, гражданином которого он является","О передаче гражданина, осужденного к лишению свободы, для отбывания наказания в государстве, гражданином которого он является",730,349,125,47.0,17.0
2016,Об освобождении от наказания в связи с болезнью осужденного,Об освобождении от наказания в связи с болезнью осужденного,7478,2042,2600,27.0,34.0
2017,Об освобождении от наказания в связи с болезнью осужденного,Об освобождении от наказания в связи с болезнью осужденного,8732,2674,2806,30.0,32.0
2016,О снятии судимости,О снятии судимости,18932,5316,4029,28.0,21.0
2017,О снятии судимости,О снятии судимости,17017,5486,3399,32.0,20.0
2016,О возмещении вреда реабилитированному,О возмещении вреда реабилитированному,2448,1223,421,50.0,17.0
2017,О возмещении вреда реабилитированному,О возмещении вреда реабилитированному,2179,1247,271,57.0,12.0
