Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2020,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,40767,30506,74.0,20617010,33.0,676
2022,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,4002,1613,40.0,36670,31.0,22
2023,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,3515,1182,34.0,49012,74.0,41
2024,Иски об оспаривании решений таможенной службы,Иски об оспаривании решений таможенной службы,4223,1736,41.0,232118,45.0,133
2021,Иски о возмещении причиненного таможенными и органами вреда,Иски о возмещении причиненного таможенными и органами вреда,97,74,76.0,67823,48.0,917
2018,"Споры, связанные с применением антимонопольного законодательства","Споры, связанные с применением антимонопольного законодательства",353,136,38.5,399928,98.1,2941
2019,"Споры, связанные с применением антимонопольного законодательства","Споры, связанные с применением антимонопольного законодательства",280,105,37.0,147455,96.0,1404
2020,"Споры, связанные с применением антимонопольного законодательства","Споры, связанные с применением антимонопольного законодательства",325,108,33.0,9795,3.0,91
2022,Иски о признании права собственности на землю,Иски о признании права собственности на землю,865,431,49.0,16694,2.0,38
2023,Иски о признании права собственности на землю,Иски о признании права собственности на землю,763,193,25.0,1828,1.0,9
2024,"Иски о взыскании таможенных пошлин, налогов","Иски о взыскании таможенных пошлин, налогов",232,153,65.0,10697839,219.0,69920
2021,"Споры, связанные с применением законодательства об охране окружающей среды","Споры, связанные с применением законодательства об охране окружающей среды",1760,1169,66.0,153138314,100.0,130999
2018,Споры об оспаривании ненормативных правовых актов с участием ФАС,Споры об оспаривании ненормативных правовых актов с участием ФАС,201,68,33.8,0,0.0,0
2019,Споры об оспаривании ненормативных правовых актов с участием ФАС,Споры об оспаривании ненормативных правовых актов с участием ФАС,144,58,40.0,0,0.0,0
2020,Споры об оспаривании ненормативных правовых актов с участием ФАС,Споры об оспаривании ненормативных правовых актов с участием ФАС,163,54,33.0,0,0.0,0
2022,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,389,198,50.0,3563,1.0,17
2023,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,399,96,24.0,23864,249.0,249
2024,Иски о возмещении причиненного таможенными и органами вреда,Иски о возмещении причиненного таможенными и органами вреда,84,67,79.0,172699,40.0,2577
2021,Земельные правоотношения,Земельные правоотношения,54597,37140,68.0,27029037,33.0,728
2018,Антимонопольные споры об обязании заключить договор,Антимонопольные споры об обязании заключить договор,0,0,0.0,0,0.0,0
2019,Антимонопольные споры об обязании заключить договор,Антимонопольные споры об обязании заключить договор,1,1,100.0,0,0.0,0
2020,Антимонопольные споры об обязании заключить договор,Антимонопольные споры об обязании заключить договор,2,1,50.0,0,0.0,0
2022,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1330,632,47.0,144741,20.0,229
2023,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1487,413,28.0,47201,6.0,114
2024,"Споры, связанные с применением законодательства об охране окружающей среды","Споры, связанные с применением законодательства об охране окружающей среды",3676,2478,67.0,387956995,86.0,156560
2021,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,3680,1469,39.0,13615,20.0,9
2018,Антимонопольные споры об изменении или расторжении договора,Антимонопольные споры об изменении или расторжении договора,7,3,42.9,0,0.0,0
2019,Антимонопольные споры об изменении или расторжении договора,Антимонопольные споры об изменении или расторжении договора,2,2,100.0,0,0.0,0
2020,Антимонопольные споры об изменении или расторжении договора,Антимонопольные споры об изменении или расторжении договора,3,1,33.0,0,0.0,0
2022,Споры в связи с неисполнением или ненадлежащим исполнением сделок с землей,Споры в связи с неисполнением или ненадлежащим исполнением сделок с землей,38827,28813,74.0,18343273,31.0,636
2023,Споры в связи с неисполнением или ненадлежащим исполнением сделок с землей,Споры в связи с неисполнением или ненадлежащим исполнением сделок с землей,36920,4667,13.0,19124310,40.0,4098
2024,"Иски о возмещении вреда, причиненного окружающей среде","Иски о возмещении вреда, причиненного окружающей среде",2597,1794,69.0,387478147,86.0,215985
2021,Иски о признании права собственности на землю,Иски о признании права собственности на землю,762,371,48.0,54334,0.0,146
2018,Антимонопольные споры о ликвидации юридических лиц,Антимонопольные споры о ликвидации юридических лиц,1,1,100.0,0,0.0,0
2019,Антимонопольные споры о ликвидации юридических лиц,Антимонопольные споры о ликвидации юридических лиц,2,1,50.0,0,0.0,0
2020,Антимонопольные споры о ликвидации юридических лиц,Антимонопольные споры о ликвидации юридических лиц,0,0,0.0,0,0.0,0
2022,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,37688,28145,74.0,17641893,36.0,626
2023,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,35704,4406,12.0,18099949,40.0,4108
2024,Земельные правоотношения,Земельные правоотношения,49664,32604,65.0,20731467,8.0,635
2021,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,589,338,57.0,28050,10.0,83
2018,Антимонопольные споры о признании недействительными договоров,Антимонопольные споры о признании недействительными договоров,19,11,57.9,0,0.0,0
2019,Антимонопольные споры о признании недействительными договоров,Антимонопольные споры о признании недействительными договоров,12,6,50.0,0,0.0,0
2020,Антимонопольные споры о признании недействительными договоров,Антимонопольные споры о признании недействительными договоров,11,5,45.0,0,0.0,0
2022,Иск о возмещении убытков в связи с неисполнением или ненадлежащим исполнением сделок с землей,Иск о возмещении убытков в связи с неисполнением или ненадлежащим исполнением сделок с землей,39,26,66.0,29389,24.0,1130
2023,Иск о возмещении убытков в связи с неисполнением или ненадлежащим исполнением сделок с землей,Иск о возмещении убытков в связи с неисполнением или ненадлежащим исполнением сделок с землей,35,10,29.0,11700,1.0,1170
2024,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,3594,1559,43.0,70213,56.0,45
2021,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1420,692,48.0,307739,14.0,445
2018,Антимонопольные споры о признании торгов недействительными,Антимонопольные споры о признании торгов недействительными,79,34,43.0,0,0.0,0
2019,Антимонопольные споры о признании торгов недействительными,Антимонопольные споры о признании торгов недействительными,68,22,32.0,16,28.0,0
2020,Антимонопольные споры о признании торгов недействительными,Антимонопольные споры о признании торгов недействительными,92,26,28.0,148,4.0,6
2022,"Споры, связанные с применением антимонопольного законодательства","Споры, связанные с применением антимонопольного законодательства",152,33,21.0,38,0.0,1
2023,"Споры, связанные с применением антимонопольного законодательства","Споры, связанные с применением антимонопольного законодательства",420,83,20.0,40608,159.0,489
2024,"Иски об изъятии, прекращении или ограничении права на земельный участок","Иски об изъятии, прекращении или ограничении права на земельный участок",118,60,50.0,33549,86.0,559
2021,Споры в связи с неисполнением или ненадлежащим исполнением сделок с землей,Споры в связи с неисполнением или ненадлежащим исполнением сделок с землей,40569,30177,74.0,23336856,40.0,773
2018,Антимонопольные споры о взыскании в федеральный бюджет необоснованного дохода,Антимонопольные споры о взыскании в федеральный бюджет необоснованного дохода,5,4,80.0,106040,94.5,26510
2019,Антимонопольные споры о взыскании в федеральный бюджет необоснованного дохода,Антимонопольные споры о взыскании в федеральный бюджет необоснованного дохода,3,3,100.0,147439,97.0,49146
2020,Антимонопольные споры о взыскании в федеральный бюджет необоснованного дохода,Антимонопольные споры о взыскании в федеральный бюджет необоснованного дохода,7,5,71.0,9647,3.0,1929
2022,Споры об оспаривании ненормативных правовых актов с участием ФАС,Споры об оспаривании ненормативных правовых актов с участием ФАС,0,0,0.0,0,0.0,0
2023,Споры об оспаривании ненормативных правовых актов с участием ФАС,Споры об оспаривании ненормативных правовых актов с участием ФАС,54,42,78.0,0,0.0,0
2024,Иски о признании права собственности на землю,Иски о признании права собственности на землю,626,301,48.0,36513,74.0,121
2021,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,39451,29499,74.0,22126475,41.0,750
2018,Антимонопольные споры о понуждении к исполнению решений ФАС,Антимонопольные споры о понуждении к исполнению решений ФАС,15,8,53.3,0,0.0,0
2019,Антимонопольные споры о понуждении к исполнению решений ФАС,Антимонопольные споры о понуждении к исполнению решений ФАС,14,6,42.0,0,0.0,0
2020,Антимонопольные споры о понуждении к исполнению решений ФАС,Антимонопольные споры о понуждении к исполнению решений ФАС,29,9,31.0,0,0.0,0
2022,Антимонопольные споры об обязании заключить договор,Антимонопольные споры об обязании заключить договор,0,0,0.0,0,0.0,0
2023,Антимонопольные споры об обязании заключить договор,Антимонопольные споры об обязании заключить договор,205,0,0.0,0,0.0,0
2024,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,373,179,47.0,14142,17.0,79
