Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2016,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,90,84,93.0,57,0.0,1
2017,Иски о привлечении к административной ответственности,Иски о привлечении к административной ответственности,763,726,95.0,441,0.0,1
2016,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,62191,55681,89.0,10112063,48.0,182
2017,Взыскание обязательных платежей по заявлениям ПФР,Взыскание обязательных платежей по заявлениям ПФР,272518,265435,97.0,3298387,18.0,12
2016,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,24198,17902,74.0,242762,36.0,14
2017,Взыскание обязательных платежей по заявлениям ФСС,Взыскание обязательных платежей по заявлениям ФСС,20853,17372,83.0,408928,56.0,24
2016,Иные экономические споры,Иные экономические споры,14898,7983,53.0,6922202,23.0,867
2017,Иные экономические споры,Иные экономические споры,14595,8429,57.0,26322863,46.0,3123
2016,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",1219,552,45.0,0,0.0,0
2017,"Споры об установлении фактов, имеющих юридическое значение","Споры об установлении фактов, имеющих юридическое значение",1015,391,38.0,0,0.0,0
2016,Споры о несостоятельности (банкротстве),Споры о несостоятельности (банкротстве),0,0,0.0,0,0.0,0
2017,Споры о несостоятельности (банкротстве),Споры о несостоятельности (банкротстве),0,0,0.0,0,0.0,0
2016,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,577,105,18.0,6146,54.0,59
2017,Дела об оспаривании решений третейских судов,Дела об оспаривании решений третейских судов,401,93,23.0,0,0.0,0
2016,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,7324,6160,84.0,4118890,65.0,669
2017,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Дела о выдаче исполнительного листа на принудительное исполнение решения третейского суда,5390,4333,80.0,3631964,57.0,838
2016,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,231,157,68.0,1287035,74.0,8198
2017,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,Дела о признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,244,163,66.0,576973,95.0,3540
2016,Споры с участием иностранных лиц,Споры с участием иностранных лиц,7159,6082,85.0,23573118,36.0,3876
2017,Споры с участием иностранных лиц,Споры с участием иностранных лиц,10304,9445,91.0,171823643,90.0,18192
2016,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,5698,5196,91.0,9894382,36.0,1904
2017,Споры с участием граждан и организаций из стран СНГ,Споры с участием граждан и организаций из стран СНГ,8717,8393,96.0,1883654,44.0,224
2016,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",6,3,50.0,11508,100.0,3836
2017,"Споры, связанных с применением законодательства об иностранных инвестициях","Споры, связанных с применением законодательства об иностранных инвестициях",2,0,0.0,0,0.0,0
2016,Споры с участием прокуроров,Споры с участием прокуроров,9303,7000,75.0,4680863,100.0,669
2017,Споры с участием прокуроров,Споры с участием прокуроров,7145,5570,78.0,316209,100.0,57
2016,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,16391,3994,24.0,5624294,74.0,1408
2017,Споры с участием судебных приставов-исполнителей,Споры с участием судебных приставов-исполнителей,16100,5326,33.0,2529694,55.0,475
2016,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,135,111,82.0,8543,60.0,77
2017,Споры о защите прав и законных интересов группы лиц,Споры о защите прав и законных интересов группы лиц,25,10,40.0,0,0.0,0
2016,Споры в сфере государственных закупок,Споры в сфере государственных закупок,9396,6661,70.0,8456276,38.0,1270
2017,Споры в сфере государственных закупок,Споры в сфере государственных закупок,11958,9565,80.0,9119345,39.0,953
2016,ВСЕГО,Всего споров,1539528,1092263,70.0,1878316624,41.0,1720
2017,ВСЕГО,Всего споров,1701337,1298799,76.0,1956410601,42.0,1506
2024,Споры о заключении договоров (всего),Споры о заключении договоров (всего),2995,1586,52.0,5785439,77.0,3647
2021,Споры о заключении договоров (всего),Споры о заключении договоров (всего),4214,2361,56.0,525683,17.0,223
2018,Споры о заключении договоров (всего),Споры о заключении договоров (всего),3733,1538,41.2,758609,31.1,493
2019,Споры о заключении договоров (всего),Споры о заключении договоров (всего),3416,1663,48.0,1657220,54.0,996
2020,Споры о заключении договоров (всего),Споры о заключении договоров (всего),3233,1672,51.0,502764,31.0,301
2022,Споры о заключении договоров (всего),Споры о заключении договоров (всего),3189,1628,51.0,189589,24.0,116
2023,Споры о заключении договоров (всего),Споры о заключении договоров (всего),3119,529,17.0,432503,34.0,818
2024,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,92,43,46.0,8794,19.0,204
2021,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,1026,783,76.0,175090,8.0,224
2018,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,169,70,41.4,84327,18.3,1205
2019,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,208,128,61.0,100450,15.0,784
2020,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,266,165,62.0,78519,26.0,476
2022,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,211,117,55.0,51075,33.0,436
2023,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,97,23,24.0,55967,25.0,2433
2023,Споры о признании договоров недействительными,Споры о признании договоров недействительными,3784,1150,30.0,4255412,57.0,3700
2024,Споры о признании договоров недействительными,Споры о признании договоров недействительными,3642,1822,50.0,1706489,26.0,936
2021,Споры о признании договоров недействительными,Споры о признании договоров недействительными,4366,1801,41.0,413935,12.0,230
2018,Споры в сфере государственных закупок,Споры в сфере государственных закупок,14726,12655,85.9,6784007,35.7,536
2019,Споры в сфере государственных закупок,Споры в сфере государственных закупок,12110,10184,84.0,7320361,36.0,718
2020,Споры в сфере государственных закупок,Споры в сфере государственных закупок,13510,11626,86.0,6761976,44.0,582
2022,Споры о признании договоров недействительными,Споры о признании договоров недействительными,3842,1838,47.0,652645,30.0,355
2023,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,404244,16509,4.0,386884423,43.0,23435
2024,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,406371,338807,83.0,464320507,46.0,1370
2021,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,471073,388519,82.0,419690907,1.0,1080
2018,Споры о признании договоров недействительными,Споры о признании договоров недействительными,5734,2320,40.5,738064,15.5,318
2019,Споры о признании договоров недействительными,Споры о признании договоров недействительными,4878,2071,42.0,728267,5.0,351
2020,Споры о признании договоров недействительными,Споры о признании договоров недействительными,4061,1713,42.0,1283355,49.0,749
2022,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,448433,365839,81.0,401098123,32.0,1096
2023,Споры по договорам поставки (всего),Споры по договорам поставки (всего),137172,8542,6.0,195325489,41.0,22866
2024,Споры по договорам поставки (всего),Споры по договорам поставки (всего),144754,112846,77.0,264381634,40.0,2342
2021,Споры по договорам поставки (всего),Споры по договорам поставки (всего),166107,130484,78.0,188840950,38.0,1447
2018,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,504555,408106,80.9,617613192,52.0,1513
2019,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,514212,416493,81.0,549606211,23.0,1319
2020,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,488731,406689,83.0,429586757,47.0,1056
2022,Споры по договорам поставки (всего),Споры по договорам поставки (всего),161935,121931,75.0,202169865,37.0,1658
2023,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,259036,7067,3.0,180424522,46.0,25531
2024,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,253864,220622,86.0,188226327,58.0,853
2021,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,293478,249908,85.0,208127469,0.0,833
2018,Споры по договорам поставки (всего),Споры по договорам поставки (всего),197567,156265,79.1,263990505,44.6,1689
2019,Споры по договорам поставки (всего),Споры по договорам поставки (всего),202580,159073,78.0,279100145,47.0,1754
2020,Споры по договорам поставки (всего),Споры по договорам поставки (всего),183821,146262,79.0,209504229,42.0,1432
2022,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,277594,237849,85.0,185626483,29.0,780
2023,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,1317,232,18.0,2423462,40.0,10446
2024,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,1336,823,61.0,2374438,52.0,2885
2021,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,1281,779,60.0,2687337,36.0,3450
2018,Споры по государственным контрактам,Споры по государственным контрактам,18036,15366,85.2,7843088,28.2,510
2019,Споры по государственным контрактам,Споры по государственным контрактам,8648,7003,81.0,8070623,41.0,1152
2020,Споры по государственным контрактам,Споры по государственным контрактам,6075,4970,81.0,2657966,38.0,535
2022,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,1330,734,55.0,1802724,4.0,2456
2023,Споры по договорам аренды,Споры по договорам аренды,65323,6437,10.0,97094668,56.0,15084
2024,Споры по договорам аренды,Споры по договорам аренды,63726,47754,74.0,60541540,19.0,1267
2021,Споры по договорам аренды,Споры по договорам аренды,74010,55816,75.0,64281583,41.0,1152
2018,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,289786,237668,82.0,281182694,53.8,1183
2019,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,296747,246487,83.0,243589697,14.0,988
2020,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,292925,251073,85.0,203049091,57.0,809
2022,Споры по договорам аренды,Споры по договорам аренды,67512,51236,75.0,60299260,35.0,1176
2023,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),5665,874,15.0,6692378,29.0,7657
2024,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),7661,5200,67.0,11145740,37.0,2143
2021,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),5704,3584,62.0,12224666,41.0,3411
2018,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,2235,1719,76.9,2640463,41.5,1536
2019,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,1732,1073,62.0,4361653,44.0,4064
2020,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,1359,837,61.0,2032827,32.0,2429
2022,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),5425,3361,61.0,10055371,42.0,2991
2023,Споры по договорам подряда,Споры по договорам подряда,97803,14316,15.0,244640749,27.0,17089
2024,Споры по договорам подряда,Споры по договорам подряда,100424,70318,70.0,424169445,32.0,6032
2021,Споры по договорам подряда,Споры по договорам подряда,105141,76124,72.0,315614726,23.0,4146
2018,Споры по договорам аренды,Споры по договорам аренды,73424,56282,76.7,63414620,30.2,1127
2019,Споры по договорам аренды,Споры по договорам аренды,77355,59080,76.0,63516754,40.0,1075
2020,Споры по договорам аренды,Споры по договорам аренды,70108,53452,76.0,65348902,46.0,1223
2022,Споры по договорам подряда,Споры по договорам подряда,101825,71480,70.0,224108375,24.0,3135
2023,Споры по договорам строительного подряда,Споры по договорам строительного подряда,28560,5400,19.0,115195197,25.0,21332
2024,Споры по договорам строительного подряда,Споры по договорам строительного подряда,28013,18888,67.0,177045264,33.0,9373
2021,Споры по договорам строительного подряда,Споры по договорам строительного подряда,27144,17853,65.0,196911521,27.0,11030
2018,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),7385,5036,68.2,12129741,42.0,2409
2019,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),6390,4269,66.0,7791015,46.0,1825
2020,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),5351,3421,63.0,12470801,48.0,3645
2022,Споры по договорам строительного подряда,Споры по договорам строительного подряда,28487,19080,66.0,108078018,21.0,5664
2023,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,816,140,17.0,1243647,12.0,8883
2024,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,796,550,69.0,831189,14.0,1511
2021,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,2104,1665,79.0,5312887,41.0,3191
2018,Споры по договорам подряда,Споры по договорам подряда,102058,74381,72.9,191891306,21.3,2580
2019,Споры по договорам подряда,Споры по договорам подряда,104077,74414,71.0,196543885,20.0,2641
2020,Споры по договорам подряда,Споры по договорам подряда,95967,69303,72.0,186348093,26.0,2689
2022,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,1677,1300,77.0,1494454,20.0,1149
2023,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,47830,3563,7.0,27407228,14.0,7692
2024,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,58593,48692,83.0,42830260,37.0,879
2021,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,37050,29412,79.0,21580062,48.0,734
2018,Споры по договорам строительного подряда,Споры по договорам строительного подряда,30024,20957,69.8,87670262,18.1,4183
2019,Споры по договорам строительного подряда,Споры по договорам строительного подряда,29476,19967,67.0,91957309,16.0,4605
2020,Споры по договорам строительного подряда,Споры по договорам строительного подряда,27933,19196,68.0,87563264,26.0,4562
2022,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,41185,32990,80.0,27462453,37.0,832
2023,Споры по договорам перевозки,Споры по договорам перевозки,36351,2561,7.0,19786950,16.0,7726
2024,Споры по договорам перевозки,Споры по договорам перевозки,46230,38901,84.0,33331548,39.0,856
2021,Споры по договорам перевозки,Споры по договорам перевозки,26374,21488,81.0,14718690,47.0,685
2018,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,4680,3475,74.3,4890339,29.3,1407
2019,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,5623,4727,84.0,6480797,34.0,1371
2020,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,3357,2762,82.0,2805648,20.0,1016
2022,Споры по договорам перевозки,Споры по договорам перевозки,29840,24388,81.0,16662609,41.0,683
2023,Споры по договорам международной перевозки,Споры по договорам международной перевозки,81,9,11.0,15044,18.0,1672
2024,Споры по договорам международной перевозки,Споры по договорам международной перевозки,97,70,72.0,964916,94.0,13784
2021,Споры по договорам международной перевозки,Споры по договорам международной перевозки,105,70,66.0,30050,33.0,429
2018,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,34768,27254,78.4,21755114,33.4,798
2019,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,43982,35153,79.0,31381052,43.0,892
2020,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,41483,32995,79.0,26529675,47.0,804
2022,Споры по договорам международной перевозки,Споры по договорам международной перевозки,143,106,74.0,36047,6.0,340
2023,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,3997,479,12.0,4338785,37.0,9058
2024,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,4077,2811,68.0,5091755,38.0,1811
2021,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,4083,3027,74.0,2628294,48.0,868
2018,Споры по договорам перевозки,Споры по договорам перевозки,22055,17533,79.5,12833320,43.8,732
2019,Споры по договорам перевозки,Споры по договорам перевозки,31245,25383,81.0,18386137,50.0,724
2020,Споры по договорам перевозки,Споры по договорам перевозки,28125,22821,81.0,16881509,44.0,740
2022,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,4321,3079,71.0,3242811,33.0,1053
2023,Споры по договорам займа и кредита,Споры по договорам займа и кредита,28587,1332,5.0,296461404,51.0,222569
2024,Споры по договорам займа и кредита,Споры по договорам займа и кредита,33433,29292,87.0,232609533,0.0,7941
2021,Споры по договорам займа и кредита,Споры по договорам займа и кредита,20098,15951,79.0,384760204,40.0,24121
2018,Споры по договорам международной перевозки,Споры по договорам международной перевозки,282,176,62.4,349141,73.2,1984
2019,Споры по договорам международной перевозки,Споры по договорам международной перевозки,275,184,66.0,175919,41.0,956
2020,Споры по договорам международной перевозки,Споры по договорам международной перевозки,192,156,81.0,102460,60.0,657
2022,Споры по договорам займа и кредита,Споры по договорам займа и кредита,23532,19282,81.0,633009772,69.0,32829
2023,Споры по договорам банковского счета,Споры по договорам банковского счета,27883,844,3.0,61746319,67.0,73159
2024,Споры по договорам банковского счета,Споры по договорам банковского счета,18793,17142,91.0,18629435,37.0,1086
2021,Споры по договорам банковского счета,Споры по договорам банковского счета,12857,11606,90.0,5507354,20.0,475
2018,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,3791,2820,74.4,2790804,53.5,990
2019,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,5310,3973,74.0,3629116,30.0,913
2020,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,4488,3358,74.0,3004713,63.0,895
2022,Споры по договорам банковского счета,Споры по договорам банковского счета,14108,12823,90.0,73158629,205.0,5705
2023,Споры по договорам страхования,Споры по договорам страхования,21050,5329,25.0,12161190,40.0,2282
2024,Споры по договорам страхования,Споры по договорам страхования,24487,14251,58.0,16482681,33.0,1156
2021,Споры по договорам страхования,Споры по договорам страхования,20115,12372,61.0,7190065,28.0,581
2018,Споры по договорам займа и кредита,Споры по договорам займа и кредита,14890,10817,72.6,551938361,34.6,51025
2019,Споры по договорам займа и кредита,Споры по договорам займа и кредита,16936,12868,76.0,488503568,58.0,37962
2020,Споры по договорам займа и кредита,Споры по договорам займа и кредита,16528,12619,76.0,359134487,35.0,28460
2022,Споры по договорам страхования,Споры по договорам страхования,21057,12421,58.0,11010767,37.0,886
2023,Споры по договорам хранения,Споры по договорам хранения,1457,368,25.0,2668820,41.0,7252
2024,Споры по договорам хранения,Споры по договорам хранения,1148,803,69.0,7340082,60.0,9140
2021,Споры по договорам хранения,Споры по договорам хранения,1342,921,68.0,1674050,49.0,1818
2018,Споры по договорам банковского счета,Споры по договорам банковского счета,11389,10084,88.5,19229750,51.9,1907
2019,Споры по договорам банковского счета,Споры по договорам банковского счета,6326,4961,78.0,15663898,23.0,3157
2020,Споры по договорам банковского счета,Споры по договорам банковского счета,9643,8366,86.0,17155052,55.0,2051
2022,Споры по договорам хранения,Споры по договорам хранения,1250,878,70.0,2010156,44.0,2289
2023,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,181795,9826,5.0,79384688,9.0,8079
2024,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,169255,142993,84.0,84850165,14.0,593
2021,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,168543,141779,84.0,71368996,25.0,503
2018,Споры по договорам страхования,Споры по договорам страхования,68362,50361,73.7,8520502,35.7,169
2019,Споры по договорам страхования,Споры по договорам страхования,50676,32838,64.0,6252445,20.0,190
2020,Споры по договорам страхования,Споры по договорам страхования,21026,12002,57.0,6266637,22.0,522
2022,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,173999,145235,83.0,80849808,40.0,556
2023,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2844,360,13.0,4961743,19.0,13783
2024,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,4610,2886,62.0,4759638,30.0,1649
2021,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2116,1497,70.0,3805284,37.0,2542
2018,Споры по договорам хранения,Споры по договорам хранения,1710,1142,66.8,3265774,29.6,2860
2019,Споры по договорам хранения,Споры по договорам хранения,1804,1268,70.0,3142119,52.0,2478
2020,Споры по договорам хранения,Споры по договорам хранения,1518,1079,71.0,3708904,45.0,3437
2022,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2060,1469,71.0,4131065,40.0,2812
2023,Споры по иным видам договоров,Споры по иным видам договоров,11592,1550,13.0,14190750,21.0,9155
2024,Споры по иным видам договоров,Споры по иным видам договоров,14174,10653,75.0,84822310,58.0,7962
2021,Споры по иным видам договоров,Споры по иным видам договоров,11995,8608,71.0,24088027,22.0,2798
2018,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,152439,123376,80.9,73885138,42.6,599
2019,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,156657,127126,81.0,84574717,40.0,665
2020,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,155682,129718,83.0,72062406,13.0,556
2022,Споры по иным видам договоров,Споры по иным видам договоров,11267,8173,72.0,16725950,34.0,2046
2023,Споры о неисполнении или ненадлежащем исполнении обязательств (всего),Споры о неисполнении или ненадлежащем исполнении обязательств (всего),891234,60574,7.0,1228845642,32.0,20287
2024,Споры о неисполнении или ненадлежащем исполнении обязательств (всего),Споры о неисполнении или ненадлежащем исполнении обязательств (всего),895811,724148,80.0,1442186805,3.0,1991
2021,Споры о неисполнении или ненадлежащем исполнении обязательств (всего),Споры о неисполнении или ненадлежащем исполнении обязательств (всего),926444,744270,80.0,1324874159,3.0,1780
2018,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2646,1956,73.9,12248050,49.8,6262
2019,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2590,2036,78.0,4195939,34.0,2060
2020,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2185,1612,73.0,4796903,1.0,2976
2022,Споры о неисполнении или ненадлежащем исполнении обязательств (всего),Споры о неисполнении или ненадлежащем исполнении обязательств (всего),908054,723315,79.0,1535358834,42.0,2122
2023,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,10088,1595,16.0,14555664,49.0,9126
2024,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,10445,7676,73.0,10221024,27.0,1331
2021,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,9936,7520,75.0,12204520,54.0,1623
2018,Споры по иным видам договоров,Споры по иным видам договоров,11179,7809,69.9,45773466,32.7,5862
2019,Споры по иным видам договоров,Споры по иным видам договоров,11001,7733,70.0,33481783,39.0,4329
2020,Споры по иным видам договоров,Споры по иным видам договоров,12482,9457,75.0,33992111,27.0,3594
2022,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,9929,6887,69.0,12261766,43.0,1780
2023,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,167039,4572,3.0,37227997,40.0,8143
2024,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,174679,155609,89.0,46865626,39.0,301
2021,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,183286,164621,89.0,40451199,22.0,246
2018,Споры о неисполнении или ненадлежащем исполнении обязательств,Споры о неисполнении или ненадлежащем исполнении обязательств,982100,775043,78.9,1614425612,36.8,2083
2019,Споры о неисполнении или ненадлежащем исполнении обязательств,Споры о неисполнении или ненадлежащем исполнении обязательств,991239,778697,78.0,1483343168,30.0,1904
2020,Споры о неисполнении или ненадлежащем исполнении обязательств,Споры о неисполнении или ненадлежащем исполнении обязательств,918710,740054,80.0,1207735575,30.0,1632
2022,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,178330,158426,88.0,40183010,38.0,253
2023,Иски об изменении или расторжение договора,Иски об изменении или расторжение договора,3381,736,22.0,3074249,37.0,4177
2024,Иски об изменении или расторжение договора,Иски об изменении или расторжение договора,2895,1613,55.0,2587772,32.0,1604
2021,Иски об изменении или расторжение договора,Иски об изменении или расторжение договора,4340,2497,57.0,2531599,34.0,1014
2018,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,20539,15926,77.5,10687724,51.2,671
