Год,Метка_норм,Административный истец,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2023,Иной государственный орган,Иной государственный орган,216718,203072,94.0,13646,6.0,19424,183118,84.0,7657719,38
2019,Иной государственный орган,Иной государственный орган,1617895,1609757,99.0,8138,0.0,20850,1592090,98.0,30921230,19
2024,Иной государственный орган,Иной государственный орган,517818,512132,98.0,5686,1.0,13606,494605,95.0,17556432,34
2018,Иной государственный орган,Иной государственный орган,1128471,1122858,99.5,5613,0.5,15199,1099303,97.4,14471725,13
2020,Иной государственный орган,Иной государственный орган,1653723,1637496,99.0,16227,1.0,26662,1615218,97.0,1082811,1
2022,Иной государственный орган,Иной государственный орган,1658787,1639756,98.0,19031,1.0,20879,1620644,97.0,23789818,14
2021,Иной государственный орган,Иной государственный орган,723431,713036,98.0,10395,1.0,24875,689640,95.0,14666908,21
2023,Орган местного самоуправления,Орган местного самоуправления,11743,9613,82.0,2130,18.0,2385,1277,11.0,44325,5
2019,Орган местного самоуправления,Орган местного самоуправления,32324,30099,93.0,2225,6.0,3133,24023,74.0,396033,13
2024,Орган местного самоуправления,Орган местного самоуправления,16904,14304,84.0,2600,15.0,1581,3137,18.0,50348,3
2018,Орган местного самоуправления,Орган местного самоуправления,16178,14091,87.1,2087,12.9,2025,9869,61.0,99410,7
2020,Орган местного самоуправления,Орган местного самоуправления,37355,35428,94.0,1927,5.0,3713,29090,77.0,12144,0
2022,Орган местного самоуправления,Орган местного самоуправления,17178,15302,89.0,1876,10.0,2837,8090,47.0,171138,11
2021,Орган местного самоуправления,Орган местного самоуправления,18829,16627,88.0,2202,11.0,3116,9629,51.0,187279,11
2023,Избирательная комиссия,Избирательная комиссия,96,83,86.0,13,14.0,1117,0,0.0,982,12
2019,Избирательная комиссия,Избирательная комиссия,301,246,81.0,55,18.0,1312,0,0.0,53,0
2024,Избирательная комиссия,Избирательная комиссия,83,69,83.0,14,16.0,1468,0,0.0,0,0
2018,Избирательная комиссия,Избирательная комиссия,165,110,66.7,55,33.3,1174,0,0.0,40,0
2020,Избирательная комиссия,Избирательная комиссия,403,337,83.0,66,16.0,1238,0,0.0,330,1
2022,Избирательная комиссия,Избирательная комиссия,105,80,76.0,25,23.0,1002,0,0.0,0,0
2021,Избирательная комиссия,Избирательная комиссия,179,144,80.0,35,19.0,1224,0,0.0,1980,14
2023,Комиссия референдума,Комиссия референдума,0,0,0.0,0,0.0,10,0,0.0,0,0
2019,Комиссия референдума,Комиссия референдума,146,141,96.0,5,3.0,50,0,0.0,0,0
2024,Комиссия референдума,Комиссия референдума,0,0,0.0,0,0.0,12,0,0.0,0,0
2018,Комиссия референдума,Комиссия референдума,4,4,100.0,0,0.0,19,0,0.0,0,0
2020,Комиссия референдума,Комиссия референдума,16,11,68.0,5,31.0,33,0,0.0,0,0
2022,Комиссия референдума,Комиссия референдума,22,14,63.0,8,36.0,11,0,0.0,0,0
2021,Комиссия референдума,Комиссия референдума,1,0,0.0,1,100.0,22,0,0.0,0,0
2023,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",65495,49452,76.0,16043,24.0,0,29889,46.0,1723377,35
2019,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",425694,417653,98.0,8041,1.0,3,387048,90.0,5592182,13
2024,"Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями","Иной орган/организация, наделенные отдельными государственными или иными публичными полномочиями",112200,106902,95.0,5298,4.0,0,90756,80.0,5077607,47
