Год,Метка_норм,Показатель,Осуждено
2024,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,8538
2018,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,14258
2020,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,10453
2022,Дело прекращено в связи с деятельным раскаянием,Дело прекращено в связи с деятельным раскаянием,12130
2021,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,103649
2023,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,94451
2019,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,108662
2024,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,84204
2018,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,127353
2020,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,102451
2022,Дело прекращено в связи с примирение с потерпевшим,Дело прекращено в связи с примирение с потерпевшим,105409
2021,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,384
2023,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,481
2019,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,619
2024,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,449
2018,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,883
2020,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,434
2022,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,Дело прекращено в связи за отсутствие жалобы (согласия) потерпевшего,423
2021,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,1577
2023,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,1023
2019,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,2408
2024,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,1016
2018,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,2385
2020,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,1879
2022,Дело прекращено в связи с принудительные меры воспитательного воздействия,Дело прекращено в связи с принудительные меры воспитательного воздействия,1248
2021,Дело прекращено по иные основания,Дело прекращено по иные основания,53197
2023,Дело прекращено по иные основания,Дело прекращено по иные основания,32025
2019,Дело прекращено по иные основания,Дело прекращено по иные основания,66018
2024,Дело прекращено по иные основания,Дело прекращено по иные основания,29153
