Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2017,128 ч.2,Статья 128 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,128 ч.2,Статья 128 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,128.1 ч.1,Статья 128.1 часть 1 УК РФ,71,501,0,0,0,61,0,9,3
2016,128.1 ч.1,Статья 128.1 часть 1 УК РФ,104,589,0,0,0,65,0,23,0
2017,128.1 ч.2,Статья 128.1 часть 2 УК РФ,13,0,0,0,0,6,0,6,0
2016,128.1 ч.2,Статья 128.1 часть 2 УК РФ,20,1,0,0,0,11,0,8,0
2017,128.1 ч.3,Статья 128.1 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,128.1 ч.3,Статья 128.1 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2017,128.1 ч.4,Статья 128.1 часть 4 УК РФ,4,0,0,0,0,1,0,3,1
2016,128.1 ч.4,Статья 128.1 часть 4 УК РФ,13,0,0,0,0,6,0,7,0
2017,128.1 ч.5,Статья 128.1 часть 5 УК РФ,7,0,0,0,0,4,0,1,0
2016,128.1 ч.5,Статья 128.1 часть 5 УК РФ,4,0,0,0,0,1,0,3,0
2017,129 ч.1,Статья 129 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,129 ч.1,Статья 129 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,129 ч.2,Статья 129 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,129 ч.2,Статья 129 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,129 ч.3,Статья 129 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,129 ч.3,Статья 129 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2017,130 ч.1,Статья 130 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,130 ч.1,Статья 130 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,130 ч.2,Статья 130 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,130 ч.2,Статья 130 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,131 ч.1,Статья 131 часть 1 УК РФ,880,3,725,152,1,0,1,0,25
2016,131 ч.1,Статья 131 часть 1 УК РФ,967,1,812,154,1,0,0,0,0
2017,131 ч.2,Статья 131 часть 2 УК РФ,837,0,788,48,0,0,0,0,20
2016,131 ч.2,Статья 131 часть 2 УК РФ,957,2,907,48,0,0,0,0,0
2017,131 ч.3,Статья 131 часть 3 УК РФ,397,3,388,9,0,0,0,0,9
2016,131 ч.3,Статья 131 часть 3 УК РФ,396,2,381,14,0,0,0,0,0
2017,131 ч.4,Статья 131 часть 4 УК РФ,221,1,219,0,1,0,0,1,14
2016,131 ч.4,Статья 131 часть 4 УК РФ,215,0,213,0,1,0,0,1,0
2017,131 ч.5,Статья 131 часть 5 УК РФ,5,0,5,0,0,0,0,0,0
2016,131 ч.5,Статья 131 часть 5 УК РФ,3,0,2,0,0,0,0,0,0
2017,132 ч.1,Статья 132 часть 1 УК РФ,283,1,220,63,0,0,0,0,12
2016,132 ч.1,Статья 132 часть 1 УК РФ,277,0,216,60,0,0,0,0,0
2017,132 ч.2,Статья 132 часть 2 УК РФ,347,2,326,20,0,0,0,0,11
2016,132 ч.2,Статья 132 часть 2 УК РФ,432,0,393,38,0,1,0,0,0
2017,132 ч.3,Статья 132 часть 3 УК РФ,245,1,237,7,0,0,0,0,7
2016,132 ч.3,Статья 132 часть 3 УК РФ,222,0,213,8,1,0,0,0,0
2017,132 ч.4,Статья 132 часть 4 УК РФ,1190,9,1173,3,6,2,0,4,168
2016,132 ч.4,Статья 132 часть 4 УК РФ,1120,2,1108,2,4,2,0,3,0
2016,132 ч.5,Статья 132 часть 5 УК РФ,39,1,39,0,0,0,0,0,0
2017,132 ч.5,Статья 132 часть 5 УК РФ,42,0,42,0,0,0,0,0,4
2016,133 ч.1,Статья 133 часть 1 УК РФ,5,0,0,0,0,1,0,3,0
2017,133 ч.1,Статья 133 часть 1 УК РФ,13,0,3,2,0,3,1,3,0
2016,133 ч.2,Статья 133 часть 2 УК РФ,23,0,12,10,1,0,0,0,0
2017,133 ч.2,Статья 133 часть 2 УК РФ,33,0,16,15,0,1,0,0,0
2016,134 ч.1,Статья 134 часть 1 УК РФ,2234,1,256,572,262,14,0,752,0
2017,134 ч.1,Статья 134 часть 1 УК РФ,2287,0,259,522,278,4,1,825,11
2016,134 ч.2,Статья 134 часть 2 УК РФ,11,0,10,1,0,0,0,0,0
2017,134 ч.2,Статья 134 часть 2 УК РФ,12,0,8,3,0,0,0,0,0
2016,134 ч.3,Статья 134 часть 3 УК РФ,303,0,255,29,5,0,9,5,0
2017,134 ч.3,Статья 134 часть 3 УК РФ,279,0,242,16,8,1,6,4,7
2016,134 ч.4,Статья 134 часть 4 УК РФ,16,0,16,0,0,0,0,0,0
2017,134 ч.4,Статья 134 часть 4 УК РФ,16,0,16,0,0,0,0,0,0
2016,134 ч.5,Статья 134 часть 5 УК РФ,7,0,7,0,0,0,0,0,0
2017,134 ч.5,Статья 134 часть 5 УК РФ,8,0,8,0,0,0,0,0,0
2016,134 ч.6,Статья 134 часть 6 УК РФ,0,0,0,0,0,0,0,0,0
2017,134 ч.6,Статья 134 часть 6 УК РФ,1,0,1,0,0,0,0,0,0
2016,135 ч.1,Статья 135 часть 1 УК РФ,149,1,19,15,55,1,0,54,0
2017,135 ч.1,Статья 135 часть 1 УК РФ,171,0,18,13,58,1,0,76,6
2016,135 ч.2,Статья 135 часть 2 УК РФ,105,2,99,0,3,0,1,1,0
2017,135 ч.2,Статья 135 часть 2 УК РФ,144,1,139,2,1,0,0,0,9
2016,135 ч.3,Статья 135 часть 3 УК РФ,55,0,50,3,1,0,1,0,0
2017,135 ч.3,Статья 135 часть 3 УК РФ,79,0,75,3,0,0,0,1,6
2016,135 ч.4,Статья 135 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2017,135 ч.4,Статья 135 часть 4 УК РФ,2,0,2,0,0,0,0,0,0
2016,135 ч.5,Статья 135 часть 5 УК РФ,4,0,4,0,0,0,0,0,0
2017,135 ч.5,Статья 135 часть 5 УК РФ,6,0,6,0,0,0,0,0,1
2016,136 ч.1,Статья 136 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,136 ч.1,Статья 136 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
