Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2018,204.2 ч.2,Статья 204.2 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,200.7 ч.4,Статья 200.7 часть 4,0,0,0,0,0,0,0,0,0
2020,205.1 ч.1,Статья 205.1 часть 1 УК РФ,63,0,62,0,0,0,0,0,0
2022,204.1 ч.2,Статья 204.1 ч. 2,9,0,1,5,0,3,0,0,0
2021,204 ч.1,Статья 204 ч. 1,0,0,0,0,0,0,0,0,0
2023,201 ч.1,Статья 201 часть 1,91,0,7,21,0,42,7,0,0
2019,204 ч.5,Статья 204 часть 5 УК РФ,3,0,0,0,0,3,0,0,5
2018,205 ч.1,Статья 205 часть 1 УК РФ,5,0,5,0,0,0,0,0,0
2024,200.7 ч.5,Статья 200.7 часть 5,0,0,0,0,0,0,0,0,0
2020,205.1 ч.1.1,Статья 205.1 часть 1.1 УК РФ,56,0,55,1,0,0,0,0,0
2022,204.1 ч.3,Статья 204.1 ч. 3,11,0,0,11,0,0,0,0,0
2021,204 ч.2,Статья 204 ч. 2,0,0,0,0,0,0,0,0,0
2023,201 ч.2,Статья 201 часть 2,22,2,7,10,0,3,0,0,0
2019,204 ч.6,Статья 204 часть 6 УК РФ,10,0,1,4,0,5,0,0,15
2018,205 ч.2,Статья 205 часть 2 УК РФ,17,0,17,0,0,0,0,0,1
2024,200.7 ч.6,Статья 200.7 часть 6,0,0,0,0,0,0,0,0,0
2020,205.1 ч.2,Статья 205.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,204.1 ч.4,Статья 204.1 ч. 4,1,0,0,0,0,1,0,0,0
2021,204 ч.3,Статья 204 ч. 3,0,0,0,0,0,0,0,0,0
2023,201.1 ч.1,Статья 201.1 часть 1,2,0,2,0,0,0,0,0,0
2019,204 ч.7,Статья 204 часть 7 УК РФ,102,1,16,64,0,21,0,0,0
2018,205 ч.3,Статья 205 часть 3 УК РФ,2,0,2,0,0,0,0,0,0
2024,200.7 ч.7,Статья 200.7 часть 7,0,0,0,0,0,0,0,0,0
2020,205.1 ч.3,Статья 205.1 часть 3 УК РФ,2,0,2,0,0,0,0,0,0
2022,204.2 ч.1,Статья 204.2 ч. 1,22,0,0,0,3,12,0,4,0
2021,204 ч.4,Статья 204 ч. 4,0,0,0,0,0,0,0,0,0
2023,201.1 ч.2,Статья 201.1 часть 2,1,0,0,1,0,0,0,0,0
2019,204 ч.8,Статья 204 часть 8 УК РФ,24,0,12,6,0,6,0,0,0
2018,205.1 ч.1,Статья 205.1 часть 1 УК РФ,63,0,63,0,0,0,0,0,0
2024,200.7 ч.8,Статья 200.7 часть 8,0,0,0,0,0,0,0,0,0
2020,205.1 ч.4,Статья 205.1 часть 4 УК РФ,4,0,4,0,0,0,0,0,0
2022,204.2 ч.2,Статья 204.2 ч. 2,0,0,0,0,0,0,0,0,0
2021,204 ч.1,Статья 204 ч. 1,0,0,0,0,0,0,0,0,0
2023,201.2 ч.1,Статья 201.2 часть 1,0,0,0,0,0,0,0,0,0
2019,204.1 ч.1,Статья 204.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,1
2018,205.1 ч.1.1,Статья 205.1 часть 1.1 УК РФ,2,0,2,0,0,0,0,0,0
2024,201 ч.1,Статья 201 часть 1,60,4,4,13,0,26,5,0,1
2020,205.2 ч.1,Статья 205.2 часть 1 УК РФ,36,0,25,0,0,9,0,0,0
2022,205 ч.1,Статья 205 ч. 1,4,0,4,0,0,0,0,0,4
2021,204 ч.2,Статья 204 ч. 2,5,0,0,5,0,0,0,0,0
2023,201.2 ч.2,Статья 201.2 часть 2,0,0,0,0,0,0,0,0,0
2019,204.1 ч.2,Статья 204.1 часть 2 УК РФ,8,0,0,2,0,6,0,0,5
2018,205.1 ч.2,Статья 205.1 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2024,201 ч.2,Статья 201 часть 2,34,2,14,8,0,4,0,0,0
2020,205.2 ч.2,Статья 205.2 часть 2 УК РФ,111,0,65,0,0,45,0,0,0
2022,205 ч.2,Статья 205 ч. 2,8,0,8,0,0,0,0,0,0
2021,204 ч.3,Статья 204 ч. 3,2,0,0,2,0,0,0,0,0
2023,201. 3,Статья 201. 3,0,0,0,0,0,0,0,0,0
2019,204.1 ч.3,Статья 204.1 часть 3 УК РФ,3,0,1,1,0,0,0,0,0
2018,205.1 ч.3,Статья 205.1 часть 3 УК РФ,5,0,5,0,0,0,0,0,1
2024,201.1 ч.1,Статья 201.1 часть 1,1,0,1,0,0,0,0,0,0
2020,205.3,Статья 205.3 УК РФ,5,0,5,0,0,0,0,0,0
2022,205 ч.3,Статья 205 ч. 3,2,0,2,0,0,0,0,0,1
2021,204 ч.4,Статья 204 ч. 4,2,0,1,0,0,1,0,0,0
2023,202 ч.1,Статья 202 часть 1,3,0,0,0,0,2,0,0,0
2019,204.1 ч.4,Статья 204.1 часть 4 УК РФ,2,0,0,1,1,0,0,0,1
2018,205.1 ч.4,Статья 205.1 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,201.1 ч.2,Статья 201.1 часть 2,4,0,4,0,0,0,0,0,0
2020,205.4 ч.1,Статья 205.4 часть 1 УК РФ,5,0,5,0,0,0,0,0,0
2022,205.1 ч.1,Статья 205.1 ч. 1,38,0,37,0,0,1,0,0,3
2021,204 ч.1,Статья 204 ч. 1,6,0,0,1,0,4,0,0,0
2023,202 ч.2,Статья 202 часть 2,0,0,0,0,0,0,0,0,0
2019,204.2 ч.1,Статья 204.2 часть 1 УК РФ,15,0,0,0,0,8,0,4,10
2018,205.2 ч.1,Статья 205.2 часть 1 УК РФ,51,0,41,0,0,9,0,0,0
2024,201.2 ч.1,Статья 201.2 часть 1,0,0,0,0,0,0,0,0,0
2020,205.4 ч.2,Статья 205.4 часть 2 УК РФ,8,0,8,0,0,0,0,0,0
2022,205.1 ч.1.1,Статья 205.1 ч. 1.1,126,0,125,1,0,0,0,0,1
2021,204 ч.2,Статья 204 ч. 2,8,0,0,0,1,7,0,0,0
2023,203 ч.1,Статья 203 часть 1,2,0,0,0,2,0,0,0,0
2019,204.2 ч.2,Статья 204.2 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,205.2 ч.2,Статья 205.2 часть 2 УК РФ,44,0,35,0,0,9,0,0,1
2024,201.2 ч.2,Статья 201.2 часть 2,0,0,0,0,0,0,0,0,0
2020,205.5 ч.1,Статья 205.5 часть 1 УК РФ,24,0,24,0,0,0,0,0,0
2022,205.1 ч.2,Статья 205.1 ч. 2,0,0,0,0,0,0,0,0,0
2021,204 ч.3,Статья 204 ч. 3,53,0,3,28,0,22,0,0,0
2023,203 ч.2,Статья 203 часть 2,3,0,1,2,0,0,0,0,0
2019,205 ч.1,Статья 205 часть 1 УК РФ,9,0,9,0,0,0,0,0,0
2018,205.3,Статья 205.3 УК РФ,9,0,9,0,0,0,0,0,0
2024,201. 3,Статья 201. 3,0,0,0,0,0,0,0,0,0
2020,205.5 ч.2,Статья 205.5 часть 2 УК РФ,69,0,68,0,0,0,0,0,0
2022,205.1 ч.3,Статья 205.1 ч. 3,0,0,0,0,0,0,0,0,0
2021,204 ч.4,Статья 204 ч. 4,2,0,1,0,0,1,0,0,0
2023,204 ч.1,Статья 204 часть 1,0,0,0,0,0,0,0,0,0
2019,205 ч.2,Статья 205 часть 2 УК РФ,12,0,12,0,0,0,0,0,0
2018,205.4 ч.1,Статья 205.4 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,202 ч.1,Статья 202 часть 1,2,0,0,0,0,1,0,0,0
2020,205.6,Статья 205.6 УК РФ,74,0,5,1,0,68,0,0,0
2022,205.1 ч.4,Статья 205.1 ч. 4,9,0,8,0,0,0,0,0,0
2021,204 ч.5,Статья 204 ч. 5,3,0,0,0,0,2,0,0,0
2023,204 ч.2,Статья 204 часть 2,0,0,0,0,0,0,0,0,0
2019,205 ч.3,Статья 205 часть 3 УК РФ,2,0,2,0,0,0,0,0,0
2018,205.4 ч.2,Статья 205.4 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2024,202 ч.2,Статья 202 часть 2,0,0,0,0,0,0,0,0,0
2020,206 ч.1,Статья 206 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,205.2 ч.1,Статья 205.2 ч. 1,41,0,35,0,0,6,0,0,1
2021,204 ч.6,Статья 204 ч. 6,34,0,2,15,1,15,0,0,0
2023,204 ч.3,Статья 204 часть 3,0,0,0,0,0,0,0,0,0
2019,205.1 ч.1,Статья 205.1 часть 1 УК РФ,49,0,49,0,0,0,0,0,0
2018,205.5 ч.1,Статья 205.5 часть 1 УК РФ,13,0,13,0,0,0,0,0,0
2024,203 ч.1,Статья 203 часть 1,3,0,0,0,1,2,0,0,0
2020,206 ч.2,Статья 206 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2022,205.2 ч.2,Статья 205.2 ч. 2,233,0,75,0,0,153,0,0,13
2021,204 ч.7,Статья 204 ч. 7,90,2,11,61,0,17,0,0,0
2023,204 ч.4,Статья 204 часть 4,0,0,0,0,0,0,0,0,0
2019,205.1 ч.1.1,Статья 205.1 часть 1.1 УК РФ,24,0,24,0,0,0,0,0,0
2018,205.5 ч.2,Статья 205.5 часть 2 УК РФ,66,0,65,1,0,0,0,0,1
2024,203 ч.2,Статья 203 часть 2,2,0,1,1,0,0,0,0,0
2020,206 ч.3,Статья 206 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,205.3,Статья 205.3,14,0,14,0,0,0,0,0,1
2021,204 ч.8,Статья 204 ч. 8,26,1,9,11,0,5,0,0,0
2023,204 ч.1,Статья 204 часть 1,0,0,0,0,0,0,0,0,0
2019,205.1 ч.2,Статья 205.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,205.6,Статья 205.6 УК РФ,47,0,1,1,0,43,0,0,0
2024,204 ч.1,Статья 204 часть 1,0,0,0,0,0,0,0,0,0
2020,206 ч.4,Статья 206 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,205.4 ч.1,Статья 205.4 ч. 1,11,0,11,0,0,0,0,0,1
2021,204.1 ч.1,Статья 204.1 ч. 1,3,0,0,0,0,2,0,0,0
2023,204 ч.2,Статья 204 часть 2,0,0,0,0,0,0,0,0,0
2019,205.1 ч.3,Статья 205.1 часть 3 УК РФ,3,0,3,0,0,0,0,0,0
2018,206 ч.1,Статья 206 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,204 ч.2,Статья 204 часть 2,0,0,0,0,0,0,0,0,0
2020,207 ч.1,Статья 207 часть 1 УК РФ,218,0,1,2,184,26,0,0,0
2022,205.4 ч.2,Статья 205.4 ч. 2,7,0,7,0,0,0,0,0,0
2021,204.1 ч.2,Статья 204.1 ч. 2,7,0,0,1,0,6,0,0,0
2023,204 ч.3,Статья 204 часть 3,2,0,1,0,0,1,0,0,0
2019,205.1 ч.4,Статья 205.1 часть 4 УК РФ,2,0,2,0,0,0,0,0,0
2018,206 ч.2,Статья 206 часть 2 УК РФ,3,0,3,0,0,0,0,0,0
2024,204 ч.3,Статья 204 часть 3,0,0,0,0,0,0,0,0,0
2020,207 ч.2,Статья 207 часть 2 УК РФ,209,0,49,137,3,16,0,0,0
2022,205.5 ч.1,Статья 205.5 ч. 1,11,0,11,0,0,0,0,0,0
2021,204.1 ч.3,Статья 204.1 ч. 3,11,0,1,4,0,6,0,0,0
2023,204 ч.4,Статья 204 часть 4,0,0,0,0,0,0,0,0,0
2019,205.2 ч.1,Статья 205.2 часть 1 УК РФ,46,0,41,0,0,5,0,0,0
2018,206 ч.3,Статья 206 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,204 ч.4,Статья 204 часть 4,0,0,0,0,0,0,0,0,0
2020,207 ч.3,Статья 207 часть 3 УК РФ,25,0,14,8,0,1,0,0,0
2022,205.5 ч.2,Статья 205.5 ч. 2,69,0,69,0,0,0,0,0,2
2021,204.1 ч.4,Статья 204.1 ч. 4,0,0,0,0,0,0,0,0,0
2023,204 ч.1,Статья 204 часть 1,8,0,0,0,2,6,0,0,0
2019,205.2 ч.2,Статья 205.2 часть 2 УК РФ,57,0,45,0,0,12,0,0,0
2018,206 ч.4,Статья 206 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,204 ч.1,Статья 204 часть 1,0,0,0,0,0,0,0,0,0
2020,207 ч.4,Статья 207 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,205.6,Статья 205.6,82,0,4,4,0,72,0,0,0
2021,204.2 ч.1,Статья 204.2 ч. 1,14,1,0,0,0,13,0,0,0
2023,204 ч.2,Статья 204 часть 2,9,0,1,0,0,5,3,0,0
2019,205.3,Статья 205.3 УК РФ,11,0,11,0,0,0,0,0,0
2018,207 ч.1,Статья 207 часть 1 УК РФ,418,1,14,13,261,65,9,31,72
2024,204 ч.2,Статья 204 часть 2,3,0,0,3,0,0,0,0,0
2020,207.1,Статья 207.1 УК РФ,5,0,0,0,0,1,0,3,0
2022,206 ч.1,Статья 206 ч. 1,0,0,0,0,0,0,0,0,0
2021,204.2 ч.2,Статья 204.2 ч. 2,0,0,0,0,0,0,0,0,0
2023,204 ч.3,Статья 204 часть 3,125,0,2,52,0,70,0,0,0
2019,205.4 ч.1,Статья 205.4 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2018,207 ч.2,Статья 207 часть 2 УК РФ,148,0,35,99,1,8,1,0,23
2024,204 ч.3,Статья 204 часть 3,0,0,0,0,0,0,0,0,0
2020,207.2 ч.1,Статья 207.2 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,206 ч.2,Статья 206 ч. 2,3,0,3,0,0,0,0,0,1
2021,205 ч.1,Статья 205 ч. 1,5,0,5,0,0,0,0,0,2
2023,204 ч.4,Статья 204 часть 4,9,0,1,3,0,5,0,0,0
2019,205.4 ч.2,Статья 205.4 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2018,207 ч.3,Статья 207 часть 3 УК РФ,10,0,5,3,0,2,0,0,5
2024,204 ч.4,Статья 204 часть 4,1,0,0,1,0,0,0,0,0
2020,207.2 ч.2,Статья 207.2 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,206 ч.3,Статья 206 ч. 3,0,0,0,0,0,0,0,0,0
2021,205 ч.2,Статья 205 ч. 2,17,0,17,0,0,0,0,0,0
2023,204 ч.5,Статья 204 часть 5,7,0,0,0,0,6,0,0,0
2019,205.5 ч.1,Статья 205.5 часть 1 УК РФ,13,0,13,0,0,0,0,0,0
2018,207 ч.4,Статья 207 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,204 ч.1,Статья 204 часть 1,1,0,0,0,0,1,0,0,0
2020,208 ч.1,Статья 208 часть 1 УК РФ,6,0,6,0,0,0,0,0,0
2022,206 ч.4,Статья 206 ч. 4,0,0,0,0,0,0,0,0,0
2021,205 ч.3,Статья 205 ч. 3,12,0,11,0,0,0,0,0,0
2023,204 ч.6,Статья 204 часть 6,30,0,0,11,0,19,0,0,0
2019,205.5 ч.2,Статья 205.5 часть 2 УК РФ,102,0,102,0,0,0,0,0,0
2018,208 ч.1,Статья 208 часть 1 УК РФ,6,0,6,0,0,0,0,0,0
2024,204 ч.2,Статья 204 часть 2,15,0,0,0,0,15,0,0,0
2020,208 ч.2,Статья 208 часть 2 УК РФ,40,3,35,3,0,0,0,0,0
2022,207 ч.1,Статья 207 ч. 1,302,1,1,0,264,27,1,0,32
2021,205.1 ч.1,Статья 205.1 ч. 1,50,0,48,2,0,0,0,0,0
2023,204 ч.7,Статья 204 часть 7,152,0,19,78,0,55,0,0,0
2019,205.6,Статья 205.6 УК РФ,49,0,2,0,0,45,0,0,28
2018,208 ч.2,Статья 208 часть 2 УК РФ,120,1,115,5,0,0,0,0,0
2024,204 ч.3,Статья 204 часть 3,149,0,4,61,0,84,0,0,1
2020,209 ч.1,Статья 209 часть 1 УК РФ,10,0,10,0,0,0,0,0,0
2022,207 ч.2,Статья 207 ч. 2,305,1,41,220,6,29,3,1,74
2021,205.1 ч.1.1,Статья 205.1 ч. 1.1,64,0,64,0,0,0,0,0,1
2023,204 ч.8,Статья 204 часть 8,45,0,19,13,0,12,0,0,0
2019,206 ч.1,Статья 206 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2018,209 ч.1,Статья 209 часть 1 УК РФ,14,0,14,0,0,0,0,0,0
2024,204 ч.4,Статья 204 часть 4,10,0,2,1,0,7,0,0,0
2020,209 ч.2,Статья 209 часть 2 УК РФ,43,2,41,2,0,0,0,0,0
2022,207 ч.3,Статья 207 ч. 3,39,0,14,23,0,2,0,0,13
2021,205.1 ч.2,Статья 205.1 ч. 2,0,0,0,0,0,0,0,0,0
2023,204.1 ч.1,Статья 204.1 часть 1,2,0,0,0,0,2,0,0,0
2019,206 ч.2,Статья 206 часть 2 УК РФ,5,0,5,0,0,0,0,0,0
2018,209 ч.2,Статья 209 часть 2 УК РФ,64,1,64,0,0,0,0,0,1
2024,204 ч.5,Статья 204 часть 5,2,0,0,0,0,2,0,0,0
2020,209 ч.3,Статья 209 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,207 ч.4,Статья 207 ч. 4,0,0,0,0,0,0,0,0,0
2021,205.1 ч.3,Статья 205.1 ч. 3,1,0,1,0,0,0,0,0,0
2023,204.1 ч.2,Статья 204.1 часть 2,12,0,0,2,0,10,0,0,0
2019,206 ч.3,Статья 206 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2018,209 ч.3,Статья 209 часть 3 УК РФ,1,0,1,0,0,0,0,0,0
2024,204 ч.6,Статья 204 часть 6,34,0,0,7,0,25,0,0,0
2020,210 ч.1,Статья 210 часть 1 УК РФ,29,1,29,0,0,0,0,0,0
2022,207.1,Статья 207.1,2,0,0,0,2,0,0,0,1
2021,205.1 ч.4,Статья 205.1 ч. 4,6,0,6,0,0,0,0,0,0
2023,204.1 ч.3,Статья 204.1 часть 3,7,0,0,4,0,2,0,0,0
2019,206 ч.4,Статья 206 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,210 ч.1,Статья 210 часть 1 УК РФ,48,0,48,0,0,0,0,0,0
2024,204 ч.7,Статья 204 часть 7,156,0,8,81,0,66,0,0,0
2020,210 ч.1.1,Статья 210 часть 1.1 УК РФ,0,0,0,0,0,0,0,0,0
2022,207.2 ч.1,Статья 207.2 ч. 1,0,0,0,0,0,0,0,0,0
2021,205.2 ч.1,Статья 205.2 ч. 1,29,0,21,0,0,7,0,0,1
2023,204.1 ч.4,Статья 204.1 часть 4,0,0,0,0,0,0,0,0,0
2019,207 ч.1,Статья 207 часть 1 УК РФ,288,1,1,0,235,38,0,1,12
2018,210 ч.2,Статья 210 часть 2 УК РФ,81,0,56,25,0,0,0,0,0
2024,204 ч.8,Статья 204 часть 8,47,0,19,8,0,18,0,0,0
2020,210 ч.2,Статья 210 часть 2 УК РФ,94,23,74,20,0,0,0,0,0
2022,207.2 ч.2,Статья 207.2 ч. 2,0,0,0,0,0,0,0,0,0
2021,205.2 ч.2,Статья 205.2 ч. 2,170,0,55,0,0,113,0,0,12
2023,204.2 ч.1,Статья 204.2 часть 1,27,0,0,1,1,24,0,0,0
2019,207 ч.2,Статья 207 часть 2 УК РФ,269,0,56,185,0,24,0,1,22
2018,210 ч.3,Статья 210 часть 3 УК РФ,19,0,17,2,0,0,0,0,0
2024,204.1 ч.1,Статья 204.1 часть 1,1,0,0,0,0,1,0,0,0
2020,210 ч.3,Статья 210 часть 3 УК РФ,3,0,3,0,0,0,0,0,0
2022,207.3 ч.1,Статья 207.3 ч. 1,8,0,0,1,0,3,4,0,0
2021,205.3,Статья 205.3,5,0,5,0,0,0,0,0,1
2023,204.2 ч.2,Статья 204.2 часть 2,0,0,0,0,0,0,0,0,0
2019,207 ч.3,Статья 207 часть 3 УК РФ,21,0,11,5,1,2,0,0,0
2018,210 ч.4,Статья 210 часть 4 УК РФ,1,0,1,0,0,0,0,0,0
2024,204.1 ч.2,Статья 204.1 часть 2,15,0,2,7,0,6,0,0,0
2020,210 ч.4,Статья 210 часть 4 УК РФ,1,0,1,0,0,0,0,0,0
2022,207.3 ч.2,Статья 207.3 ч. 2,6,0,2,3,0,1,0,0,1
2021,205.4 ч.1,Статья 205.4 ч. 1,19,0,19,0,0,0,0,0,0
2023,205 ч.1,Статья 205 часть 1,19,0,19,0,0,0,0,0,6
2019,207 ч.4,Статья 207 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,211 ч.1,Статья 211 часть 1 УК РФ,1,0,0,1,0,0,0,0,0
2024,204.1 ч.3,Статья 204.1 часть 3,6,0,2,2,0,2,0,0,0
2020,210.1,Статья 210.1 УК РФ,0,0,0,0,0,0,0,0,0
2022,207.3 ч.3,Статья 207.3 ч. 3,0,0,0,0,0,0,0,0,0
2021,205.4 ч.2,Статья 205.4 ч. 2,11,0,11,0,0,0,0,0,0
2023,205 ч.2,Статья 205 часть 2,19,0,19,0,0,0,0,0,0
2019,208 ч.1,Статья 208 часть 1 УК РФ,3,0,3,0,0,0,0,0,0
2018,211 ч.2,Статья 211 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,204.1 ч.4,Статья 204.1 часть 4,0,0,0,0,0,0,0,0,0
2020,211 ч.1,Статья 211 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,208 ч.1,Статья 208 ч. 1,6,0,5,1,0,0,0,0,0
2021,205.5 ч.1,Статья 205.5 ч. 1,5,0,5,0,0,0,0,0,0
2023,205 ч.3,Статья 205 часть 3,5,0,3,0,0,0,0,0,0
2019,208 ч.2,Статья 208 часть 2 УК РФ,103,2,99,4,0,0,0,0,0
2018,211 ч.3,Статья 211 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,204.2 ч.1,Статья 204.2 часть 1,19,0,0,0,0,15,3,0,0
2020,211 ч.2,Статья 211 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,208 ч.2,Статья 208 ч. 2,65,0,58,6,0,0,0,0,2
2021,205.5 ч.2,Статья 205.5 ч. 2,48,0,47,1,0,0,0,0,2
2023,205.1 ч.1,Статья 205.1 часть 1,24,0,24,0,0,0,0,0,3
2019,209 ч.1,Статья 209 часть 1 УК РФ,14,0,13,0,0,0,0,0,0
2018,211 ч.4,Статья 211 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,204.2 ч.2,Статья 204.2 часть 2,1,0,0,0,0,1,0,0,0
2020,211 ч.3,Статья 211 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,209 ч.1,Статья 209 ч. 1,16,3,16,0,0,0,0,0,0
2021,205.6,Статья 205.6,104,0,5,1,0,92,0,0,1
2023,205.1 ч.1.1,Статья 205.1 часть 1.1,117,0,117,0,0,0,0,0,1
2019,209 ч.2,Статья 209 часть 2 УК РФ,53,3,50,3,0,0,0,0,0
2018,212 ч.1,Статья 212 часть 1 УК РФ,6,0,4,2,0,0,0,0,0
2024,205 ч.1,Статья 205 часть 1,31,0,31,0,0,0,0,0,3
2020,211 ч.4,Статья 211 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,209 ч.2,Статья 209 ч. 2,83,1,83,0,0,0,0,0,1
2021,206 ч.1,Статья 206 ч. 1,0,0,0,0,0,0,0,0,0
2023,205.1 ч.2,Статья 205.1 часть 2,0,0,0,0,0,0,0,0,0
2019,209 ч.3,Статья 209 часть 3 УК РФ,1,0,1,0,0,0,0,0,0
2018,212 ч.1.1,Статья 212 часть 1.1 УК РФ,0,0,0,0,0,0,0,0,0
2024,205 ч.2,Статья 205 часть 2,38,0,38,0,0,0,0,0,1
2020,212 ч.1,Статья 212 часть 1 УК РФ,16,0,16,0,0,0,0,0,0
2022,209 ч.3,Статья 209 ч. 3,1,0,1,0,0,0,0,0,0
2021,206 ч.2,Статья 206 ч. 2,4,0,4,0,0,0,0,0,2
2023,205.1 ч.3,Статья 205.1 часть 3,0,0,0,0,0,0,0,0,0
2019,210 ч.1,Статья 210 часть 1 УК РФ,39,2,38,1,0,0,0,0,0
2018,212 ч.2,Статья 212 часть 2 УК РФ,30,0,22,7,0,1,0,0,2
2024,205 ч.3,Статья 205 часть 3,6,0,6,0,0,0,0,0,0
2020,212 ч.1.1,Статья 212 часть 1.1 УК РФ,0,0,0,0,0,0,0,0,0
2022,210 ч.1,Статья 210 ч. 1,17,0,16,1,0,0,0,0,0
2021,206 ч.3,Статья 206 ч. 3,0,0,0,0,0,0,0,0,0
2023,205.1 ч.4,Статья 205.1 часть 4,11,0,11,0,0,0,0,0,0
2019,210 ч.1.1,Статья 210 часть 1.1 УК РФ,0,0,0,0,0,0,0,0,0
2018,212 ч.3,Статья 212 часть 3 УК РФ,1,0,0,0,1,0,0,0,0
2024,205.1 ч.1,Статья 205.1 часть 1,19,0,19,0,0,0,0,0,0
2020,212 ч.2,Статья 212 часть 2 УК РФ,28,0,25,2,0,0,0,0,0
2022,210 ч.1.1,Статья 210 ч. 1.1,0,0,0,0,0,0,0,0,0
2021,206 ч.4,Статья 206 ч. 4,0,0,0,0,0,0,0,0,0
2023,205.2 ч.1,Статья 205.2 часть 1,24,0,17,0,0,7,0,0,0
2019,210 ч.2,Статья 210 часть 2 УК РФ,52,5,23,25,0,0,0,0,0
2018,212 ч.4,Статья 212 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,205.1 ч.1.1,Статья 205.1 часть 1.1,89,0,89,0,0,0,0,0,2
2020,212 ч.3,Статья 212 часть 3 УК РФ,3,0,0,0,3,0,0,0,0
2022,210 ч.2,Статья 210 ч. 2,91,0,65,26,0,0,0,0,1
2021,207 ч.1,Статья 207 ч. 1,247,1,1,0,214,24,1,0,37
2023,205.2 ч.2,Статья 205.2 часть 2,257,0,90,0,0,164,0,0,20
2019,210 ч.3,Статья 210 часть 3 УК РФ,8,1,5,2,0,0,0,0,0
2018,212.1,Статья 212.1 УК РФ,0,0,0,0,0,0,0,0,0
2024,205.1 ч.2,Статья 205.1 часть 2,1,0,1,0,0,0,0,0,0
2020,212 ч.4,Статья 212 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,210 ч.3,Статья 210 ч. 3,6,0,4,2,0,0,0,0,0
2021,207 ч.2,Статья 207 ч. 2,219,1,39,146,3,20,0,2,57
2023,205.3,Статья 205.3,17,0,17,0,0,0,0,0,0
2019,210 ч.4,Статья 210 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,213 ч.1,Статья 213 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,205.1 ч.3,Статья 205.1 часть 3,1,0,1,0,0,0,0,0,1
2020,212.1,Статья 212.1 УК РФ,0,0,0,0,0,0,0,0,0
2022,210 ч.4,Статья 210 ч. 4,0,0,0,0,0,0,0,0,0
2021,207 ч.3,Статья 207 ч. 3,21,0,11,9,1,0,0,0,12
2023,205.4 ч.1,Статья 205.4 часть 1,23,0,23,0,0,0,0,0,0
2019,210.1,Статья 210.1 УК РФ,0,0,0,0,0,0,0,0,0
2018,213 ч.1,Статья 213 часть 1 УК РФ,530,1,125,221,2,25,32,109,35
2024,205.1 ч.4,Статья 205.1 часть 4,5,0,5,0,0,0,0,0,0
2020,213 ч.1,Статья 213 часть 1 УК РФ,396,1,80,147,1,17,37,105,0
2022,210.1,Статья 210.1,20,0,20,0,0,0,0,0,0
2021,207 ч.4,Статья 207 ч. 4,0,0,0,0,0,0,0,0,0
2023,205.4 ч.2,Статья 205.4 часть 2,14,0,14,0,0,0,0,0,0
2019,211 ч.1,Статья 211 часть 1 УК РФ,2,0,0,2,0,0,0,0,0
